DDI-MedLine.d48.s6|15-35|diethyl pyrocarbonate|drug
DDI-MedLine.d58.s3|218-235|omega-agatoxin IVA|group
DDI-MedLine.d58.s5|21-37|120 microgram/ml.|group
DDI-MedLine.d58.s7|24-35|ginsenosides|group
DDI-MedLine.d58.s8|180-186|ginseng|drug
DDI-MedLine.d58.s8|188-205|antistress effects|group
DDI-MedLine.d58.s8|207-218|ginsenosides|drug_n
DDI-MedLine.d58.s8|220-225|Ca(2+)|drug
DDI-MedLine.d58.s8|227-234|subtypes|group
DDI-MedLine.d58.s8|236-247|ginsenosides|drug_n
DDI-MedLine.d58.s8|249-266|antistress effects|group
DDI-MedLine.d58.s8|268-274|ginseng|drug_n
DDI-MedLine.d58.s8|314-320|ginseng|drug_n
DDI-MedLine.d58.s8|322-339|antistress effects|group
DDI-MedLine.d58.s8|341-352|ginsenosides|drug_n
DDI-MedLine.d58.s8|354-359|Ca(2+)|drug
DDI-MedLine.d58.s8|361-368|subtypes|group
DDI-MedLine.d58.s8|370-381|ginsenosides|drug_n
DDI-MedLine.d58.s8|416-422|ginseng|drug_n
DDI-MedLine.d58.s8|424-441|antistress effects|group
DDI-MedLine.d58.s8|443-454|ginsenosides|drug_n
DDI-MedLine.d47.s0|12-21|buforin II|group
DDI-MedLine.d47.s0|53-64|azithromycin|drug
DDI-MedLine.d47.s0|70-80|minocycline|drug
DDI-MedLine.d47.s0|90-111|Cryptosporidium parvum|drug_n
DDI-MedLine.d47.s1|7-14|in vitro|drug
DDI-MedLine.d47.s2|0-9|Buforin II|drug
DDI-MedLine.d47.s2|18-27|Buforin II|drug
DDI-MedLine.d47.s4|39-60|Cryptosporidium parvum|group
DDI-MedLine.d65.s0|0-39|Drug interactions: How to identify them.|drug
DDI-MedLine.d65.s1|21-37|theraputic agents|group
DDI-MedLine.d65.s1|214-220|aspirin|brand
DDI-MedLine.d65.s1|389-402|anticoagulants|group
DDI-MedLine.d65.s1|408-413|heroin|drug_n
DDI-MedLine.d65.s1|468-484|antifungal agents|group
DDI-MedLine.d65.s1|490-501|glutethimide|drug_n
DDI-MedLine.d65.s2|208-215|toxicity|drug
DDI-MedLine.d65.s3|0-8|infection|drug
DDI-MedLine.d65.s3|10-26|clostridium toxin|drug_n
DDI-MedLine.d65.s3|28-37|antibiotic|drug
DDI-MedLine.d65.s3|39-54|antifungal agent|drug_n
DDI-MedLine.d65.s3|56-68|anticoagulant|drug
DDI-MedLine.d65.s3|70-80|anphetamine|drug_n
DDI-MedLine.d65.s3|118-133|antifungal agent|drug_n
DDI-MedLine.d65.s3|135-147|anticoagulant|drug
DDI-MedLine.d65.s3|149-159|anphetamine|drug_n
DDI-MedLine.d65.s3|161-170|antibiotic|drug
DDI-MedLine.d65.s3|172-187|antifungal agent|drug_n
DDI-MedLine.d65.s3|225-240|antifungal agent|drug_n
DDI-MedLine.d65.s3|242-254|anticoagulant|drug
DDI-MedLine.d65.s3|256-266|anphetamine|drug_n
DDI-MedLine.d65.s3|268-277|antibiotic|drug
DDI-MedLine.d65.s3|279-294|antifungal agent|drug_n
DDI-MedLine.d65.s3|332-347|antifungal agent|drug_n
DDI-MedLine.d65.s3|349-361|anticoagulant|drug
DDI-MedLine.d65.s3|363-373|anphetamine|drug_n
DDI-MedLine.d65.s3|375-384|antibiotic|drug
DDI-MedLine.d65.s4|0-17|acetilsalicic acid|drug
DDI-MedLine.d65.s4|19-32|anticoagulants|group
DDI-MedLine.d65.s4|34-45|glutethimide|drug
DDI-MedLine.d65.s4|47-53|aspirin|brand
DDI-MedLine.d65.s4|55-71|clostridium toxin|drug_n
DDI-MedLine.d65.s4|73-89|antifungal agents|group
DDI-MedLine.d65.s4|91-102|glutethimide|drug
DDI-MedLine.d65.s4|136-142|aspirin|brand
DDI-MedLine.d65.s4|144-160|clostridium toxin|drug_n
DDI-MedLine.d65.s4|162-175|anticoagulants|group
DDI-MedLine.d65.s4|177-188|glutethimide|drug
DDI-MedLine.d65.s4|222-228|aspirin|brand
DDI-MedLine.d65.s4|230-246|clostridium toxin|drug_n
DDI-MedLine.d65.s5|158-177|acetylsalicylic acid|drug
DDI-MedLine.d65.s5|179-192|anticoagulants|group
DDI-MedLine.d65.s5|194-205|glutethimide|drug
DDI-MedLine.d65.s5|207-213|aspirin|brand
DDI-MedLine.d65.s5|215-231|clostridium toxin|drug_n
DDI-MedLine.d65.s5|233-244|glutethimide|drug
DDI-MedLine.d65.s5|246-262|antifungal agents|group
DDI-MedLine.d65.s5|264-269|heroin|drug_n
DDI-MedLine.d65.s5|271-277|aspirin|brand
DDI-MedLine.d65.s5|279-295|clostridium toxin|drug_n
DDI-MedLine.d74.s1|54-150|subnormal pancreatic insulin release and impaired suppression of glucagon in response to glucose.|group
DDI-MedLine.d74.s2|49-295|dynamic insulin and glucagon release was measured from the in vitro perfused pancreases of normal and diabetic Chinese hamsters in response to various combinations of arginine (20mM), glucose (100 or 150 mg. per 100 ml.), and theophylline (10 mM).|group
DDI-MedLine.d74.s4|38-49|theophylline|group
DDI-MedLine.d74.s5|41-52|theophylline|group
DDI-MedLine.d74.s8|12-19|arginine|drug
DDI-MedLine.d74.s8|83-89|insulin|drug
DDI-MedLine.d74.s10|0-6|insulin|drug
DDI-MedLine.d74.s10|8-14|defects|group
DDI-MedLine.d74.s10|48-54|glucose|drug
DDI-MedLine.d74.s10|56-62|defects|group
DDI-MedLine.d74.s10|64-86|insulin-like substances|drug_n
DDI-MedLine.d74.s10|88-94|insulin|drug
DDI-MedLine.d74.s10|96-102|defects|group
DDI-MedLine.d74.s10|136-142|glucose|drug
DDI-MedLine.d74.s10|144-150|defects|group
DDI-MedLine.d74.s10|152-174|insulin-like substances|drug_n
DDI-MedLine.d74.s10|176-182|insulin|drug
DDI-MedLine.d74.s10|184-190|defects|group
DDI-MedLine.d74.s10|224-230|glucose|drug
DDI-MedLine.d74.s10|232-238|defects|group
DDI-MedLine.d74.s10|240-262|insulin-like substances|drug_n
DDI-MedLine.d74.s10|264-270|insulin|drug
DDI-MedLine.d74.s10|272-278|defects|group
DDI-MedLine.d74.s10|312-318|glucose|drug
DDI-MedLine.d74.s11|108-119|theophylline|drug
DDI-MedLine.d44.s0|11-20|etofibrate|drug
DDI-MedLine.d44.s1|5-15|chylomicron|group
DDI-MedLine.d44.s2|30-39|etofibrate|group
DDI-MedLine.d44.s2|401-410|etofibrate|drug
DDI-MedLine.d44.s4|39-122|chylomicron-like emulsion doubly labeled with 14C-cholesteryl oleate and 3H-triolein|group
DDI-MedLine.d44.s5|38-45|decrease|drug
DDI-MedLine.d44.s6|92-103|triglyceride|group
DDI-MedLine.d44.s7|52-99|260% greater after etofibrate than after placebo|group
DDI-MedLine.d44.s8|30-39|etofibrate|group
DDI-MedLine.d44.s8|126-135|etofibrate|drug
DDI-MedLine.d125.s0|51-69|1,3-difluoroacetone|drug
DDI-MedLine.d125.s0|74-98|(-)-erythro-fluorocitrate|drug_n
DDI-MedLine.d125.s1|30-48|1,3-difluoroacetone|drug
DDI-MedLine.d125.s1|120-142|1,3-difluoro-2-propanol|group
DDI-MedLine.d125.s2|114-139| (-)-erythro-fluorocitrate|drug_n
DDI-MedLine.d125.s4|19-37|1,3-difluoroacetone|drug
DDI-MedLine.d125.s4|201-223|1,3-difluoro-2-propanol|drug
DDI-MedLine.d125.s6|24-39|4-methylpyrazole|drug
DDI-MedLine.d125.s6|107-129|1,3-difluoro-2-propanol|drug
DDI-MedLine.d125.s7|27-42|4-methylpyrazole|drug
DDI-MedLine.d125.s8|62-77|4-methylpyrazole|drug
DDI-MedLine.d125.s8|108-130|1,3-difluoro-2-propanol|drug
DDI-MedLine.d125.s8|224-246|1,3-difluoro-2-propanol|drug
DDI-MedLine.d125.s8|251-269|1,3-difluoroacetone|drug_n
DDI-MedLine.d86.s0|36-36| |group
DDI-MedLine.d86.s0|38-38| |drug
DDI-MedLine.d86.s0|40-40| |brand
DDI-MedLine.d86.s0|42-42| |drug_n
DDI-MedLine.d86.s0|58-58| |group
DDI-MedLine.d86.s0|60-60| |drug
DDI-MedLine.d86.s0|62-62| |brand
DDI-MedLine.d86.s0|64-64| |drug_n
DDI-MedLine.d86.s1|20-22|the|drug
DDI-MedLine.d86.s1|60-68|sirolimus|drug
DDI-MedLine.d86.s1|73-81|macrolide|drug
DDI-MedLine.d86.s1|156-164|diltiazem|brand
DDI-MedLine.d86.s3|9-24|healthy subjects|group
DDI-MedLine.d86.s5|0-8|sirolimus|drug
DDI-MedLine.d86.s5|10-18|sirolimus|drug
DDI-MedLine.d86.s5|20-36|clostridium toxin|drug_n
DDI-MedLine.d86.s5|38-43|heroin|drug_n
DDI-MedLine.d86.s5|45-53|sirolimus|drug
DDI-MedLine.d86.s5|55-71|clostridium toxin|drug_n
DDI-MedLine.d86.s5|73-78|heroin|drug_n
DDI-MedLine.d86.s5|80-96|clostridium toxin|drug_n
DDI-MedLine.d86.s5|98-103|heroin|drug_n
DDI-MedLine.d86.s5|105-121|clostridium toxin|drug_n
DDI-MedLine.d86.s5|123-128|heroin|drug_n
DDI-MedLine.d86.s5|130-146|clostridium toxin|drug_n
DDI-MedLine.d86.s5|148-153|heroin|drug_n
DDI-MedLine.d86.s5|155-171|clostridium toxin|drug_n
DDI-MedLine.d86.s5|173-178|heroin|drug_n
DDI-MedLine.d86.s5|180-196|clostridium toxin|drug_n
DDI-MedLine.d86.s5|198-203|heroin|drug_n
DDI-MedLine.d86.s5|205-221|clostridium toxin|drug_n
DDI-MedLine.d86.s5|223-228|heroin|drug_n
DDI-MedLine.d86.s5|230-246|clostridium toxin|drug_n
DDI-MedLine.d86.s5|248-253|heroin|drug_n
DDI-MedLine.d86.s5|255-271|clostridium toxin|drug_n
DDI-MedLine.d86.s6|54-62|sirolimus|group
DDI-MedLine.d86.s6|111-119|diltiazem|brand
DDI-MedLine.d86.s6|136-144|sirolimus|drug_n
DDI-MedLine.d86.s7|87-95|diltiazem|drug
DDI-MedLine.d86.s7|98-115|desacetyldiltiazem|group
DDI-MedLine.d86.s7|122-139|desmethyldiltiazem|drug_n
DDI-MedLine.d86.s8|0-11|CONCLUSIONS:|drug
DDI-MedLine.d86.s8|13-154|Single-dose diltiazem coadministration leads to higher sirolimus exposure, presumably by inhibition of the first-pass metabolism of sirolimus.|drug_n
DDI-MedLine.d86.s9|72-90|sirolimus-diltiazem|drug
DDI-MedLine.d1.s4|85-94|sildenafil|drug
DDI-MedLine.d1.s6|40-61|beta-receptor blockers|group
DDI-MedLine.d1.s6|64-82|calcium antagonists|group
DDI-MedLine.d1.s6|85-111|thiazide and loop diuretics|group
DDI-MedLine.d1.s7|21-31|symptomatic|group
DDI-MedLine.d1.s8|72-250|regulation of blood pressure and blood sugar level, hyperlipidaemia and obesity, as well as a change of lifestyle (giving up smoking, adapting of diet and more physical exertion).|group
DDI-MedLine.d132.s0|22-68|non-nucleoside reverse transcriptase inhibitors|group
DDI-MedLine.d132.s4|0-8|efavirenz|drug
DDI-MedLine.d132.s4|10-19|nevirapine|drug
DDI-MedLine.d132.s4|21-29|indinavir|drug
DDI-MedLine.d132.s5|38-47|nevirapine|group
DDI-MedLine.d132.s5|72-73|PI|group
DDI-MedLine.d132.s5|75-84|nelfinavir|drug_n
DDI-MedLine.d132.s6|72-85|anticoagulants|group
DDI-MedLine.d132.s6|90-106|antifungal agents|group
DDI-MedLine.d132.s8|19-27|efavirenz|drug
DDI-MedLine.d132.s8|34-57|indinavir-based regimens|group
DDI-MedLine.d132.s9|35-46|these agents|group
DDI-MedLine.d132.s10|0-8|Efavirenz|drug
DDI-MedLine.d132.s11|20-33|anticoagulants|group
DDI-MedLine.d23.s0|15-22|ketamine|drug
DDI-MedLine.d23.s1|65-72|ketamine|drug
DDI-MedLine.d23.s1|227-234|ketamine|group
DDI-MedLine.d23.s2|35-41|ouabain|group
DDI-MedLine.d23.s2|111-116|Narcan|drug
DDI-MedLine.d23.s2|132-137|Ativan|drug
DDI-MedLine.d138.s0|20-27|oxytocin|drug
DDI-MedLine.d138.s1|20-28|exogenous|group
DDI-MedLine.d138.s1|34-43|endogenous|group
DDI-MedLine.d138.s1|45-52|oxytocin|drug
DDI-MedLine.d138.s1|58-68|vasopressin|drug
DDI-MedLine.d138.s2|15-25|stimulation|group
DDI-MedLine.d29.s0|10-19|probenecid|group
DDI-MedLine.d29.s0|79-89|cloxacillin|drug
DDI-MedLine.d29.s1|29-45|clostridium toxin|drug
DDI-MedLine.d29.s1|65-77|Streptococcus|drug
DDI-MedLine.d29.s1|83-96|Staphylococcus|drug
DDI-MedLine.d29.s1|109-120|gas gangrene|drug
DDI-MedLine.d29.s1|125-138|staphylococcal|drug
DDI-MedLine.d29.s1|152-168|clostridium toxin|drug_n
DDI-MedLine.d29.s1|176-183|exotoxin|drug_n
DDI-MedLine.d29.s1|197-207|clostridium|drug_n
DDI-MedLine.d29.s1|226-248|clostridium perfringens|drug_n
DDI-MedLine.d29.s1|253-270|clostridium tetani|drug_n
DDI-MedLine.d29.s1|273-289|clostridium toxin|drug_n
DDI-MedLine.d29.s1|302-307|infect|drug
DDI-MedLine.d29.s1|309-312|nose|drug
DDI-MedLine.d29.s1|317-320|skin|drug
DDI-MedLine.d29.s1|334-350|clostridium toxin|drug_n
DDI-MedLine.d29.s1|362-369|toxicity|drug
DDI-MedLine.d29.s1|374-382|infection|drug
DDI-MedLine.d29.s1|395-411|clostridium toxin|drug_n
DDI-MedLine.d29.s1|424-429|infect|drug
DDI-MedLine.d29.s1|431-434|nose|drug
DDI-MedLine.d29.s4|93-103|cloxacillin|drug_n
DDI-MedLine.d29.s6|27-37|cloxacillin|group
DDI-MedLine.d29.s6|59-73|kidney function|drug_n
DDI-MedLine.d118.s2|81-89|sirolimus|group
DDI-MedLine.d118.s2|229-237|sirolimus|drug
DDI-MedLine.d118.s3|0-8|Sirolimus|drug
DDI-MedLine.d118.s3|11-19|Sirolimus|drug
DDI-MedLine.d118.s3|22-30|Sirolimus|drug
DDI-MedLine.d118.s3|33-41|Sirolimus|drug
DDI-MedLine.d118.s3|44-52|Sirolimus|drug
DDI-MedLine.d118.s3|55-63|Sirolimus|drug
DDI-MedLine.d118.s3|66-74|Sirolimus|drug
DDI-MedLine.d118.s3|77-85|Sirolimus|drug
DDI-MedLine.d118.s3|88-96|Sirolimus|drug
DDI-MedLine.d118.s3|99-107|Sirolimus|drug
DDI-MedLine.d118.s3|110-118|Sirolimus|drug
DDI-MedLine.d118.s3|121-129|Sirolimus|drug
DDI-MedLine.d118.s3|132-140|Sirolimus|drug
DDI-MedLine.d118.s3|143-151|Sirolimus|drug
DDI-MedLine.d118.s3|154-162|Sirolimus|drug
DDI-MedLine.d118.s3|165-173|Sirolimus|drug
DDI-MedLine.d118.s3|176-184|Sirolimus|drug
DDI-MedLine.d118.s3|187-195|Sirolimus|drug
DDI-MedLine.d118.s3|198-206|Sirolimus|drug
DDI-MedLine.d118.s3|209-217|Sirolimus|drug
DDI-MedLine.d118.s3|220-228|Sirolimus|drug
DDI-MedLine.d118.s3|231-239|Sirolimus|drug
DDI-MedLine.d118.s3|242-250|Sirolimus|drug
DDI-MedLine.d118.s3|253-261|Sirolimus|drug
DDI-MedLine.d118.s3|264-272|Sirolimus|drug
DDI-MedLine.d118.s3|275-283|Sirolimus|drug
DDI-MedLine.d118.s3|286-294|Sirolimus|drug
DDI-MedLine.d118.s3|297-305|Sirolimus|drug
DDI-MedLine.d185.s0|122-150|histone deacetylase inhibitor|drug_n
DDI-MedLine.d185.s2|61-72|ketoconazole|group
DDI-MedLine.d185.s3|20-31|panobinostat|drug
DDI-MedLine.d185.s7|19-30|ketoconazole|group
DDI-MedLine.d185.s7|92-103|panobinostat|drug
DDI-MedLine.d185.s8|50-57|observed|drug
DDI-MedLine.d185.s9|161-174|anticoagulants|group
DDI-MedLine.d185.s9|176-192|antifungal agents|group
DDI-MedLine.d185.s10|45-68|gastrointestinal related|group
DDI-MedLine.d185.s11|13-41|asymptomatic hypophosphatemia|group
DDI-MedLine.d185.s12|21-32|panobinostat|drug
DDI-MedLine.d185.s13|156-167|panobinostat|group
DDI-MedLine.d180.s1|0-184|The 3-Deazaneplanocin A (DZNep), one of S-adenosylhomocysteine (AdoHcy) hydrolase inhibitors, has shown antitumor activities in a broad range of solid tumors and acute myeloid leukemia.|drug
DDI-MedLine.d180.s2|0-3|Here|drug
DDI-MedLine.d180.s6|32-36|ALOX5|drug
DDI-MedLine.d180.s6|119-133|DZNep treatment|group
DDI-MedLine.d180.s7|22-26|ALOX5|drug
DDI-MedLine.d180.s9|57-61|ALOX5|group
DDI-MedLine.d180.s10|19-23|Bcl-2|drug
DDI-MedLine.d180.s10|113-124|Bcl-2 family|group
DDI-MedLine.d180.s12|107-113|ABT-737|brand
DDI-MedLine.d180.s12|119-123|DZNep|brand
DDI-MedLine.d180.s13|27-31|DZNep|drug
DDI-MedLine.d180.s13|82-97|multiple myeloma|group
DDI-MedLine.d181.s0|0-57|Drug interaction of levothyroxine with infant colic drops.|drug
DDI-MedLine.d181.s1|0-6|Infacol|drug
DDI-MedLine.d181.s2|25-34|simeticone|group
DDI-MedLine.d181.s3|3-6|drug|drug
DDI-MedLine.d181.s3|8-13|groups|group
DDI-MedLine.d181.s3|18-23|brands|brand
DDI-MedLine.d181.s3|25-30|drug_n|drug_n
DDI-MedLine.d181.s4|85-97|levothyroxine|drug
DDI-MedLine.d181.s4|148-157|simeticone|drug_n
DDI-MedLine.d181.s5|8-20|levothyroxine|drug
DDI-MedLine.d181.s6|0-6|Infacol|drug
DDI-MedLine.d181.s6|15-27|levothyroxine|drug
DDI-MedLine.d181.s7|50-52|TSH|drug
DDI-MedLine.d181.s8|0-143|Drug interaction of thyroxine with simeticone has not been reported previously and is not listed in the British National Formulary for Children.|drug
DDI-MedLine.d169.s0|136-142|Calcium|drug
DDI-MedLine.d169.s1|0-6|Calcium|drug
DDI-MedLine.d169.s4|0-3|iron|drug
DDI-MedLine.d169.s4|5-28|iron radioactive tracers|drug_n
DDI-MedLine.d169.s4|41-47|healthy|drug
DDI-MedLine.d169.s4|132-135|iron|drug
DDI-MedLine.d169.s4|137-160|iron radioactive tracers|drug_n
DDI-MedLine.d169.s5|28-34|calcium|drug
DDI-MedLine.d169.s6|33-39|calcium|drug
DDI-MedLine.d169.s8|16-22|1000 mg|group
DDI-MedLine.d169.s10|53-59|calcium|drug
DDI-MedLine.d169.s10|100-103|iron|drug
DDI-MedLine.d169.s10|151-154|CRBC|drug_n
DDI-MedLine.d179.s0|32-40|sunitinib|drug
DDI-MedLine.d179.s0|46-54|docetaxel|drug
DDI-MedLine.d179.s1|0-8|sunitinib|drug
DDI-MedLine.d179.s2|0-7|imatinib|drug
DDI-MedLine.d179.s2|9-34|tyrosine kinase inhibitors|drug
DDI-MedLine.d179.s2|36-44|sunitinib|drug
DDI-MedLine.d179.s2|46-54|docetaxel|drug
DDI-MedLine.d179.s2|134-142|EGFR TKIs|drug
DDI-MedLine.d179.s2|144-148|NSCLC|drug
DDI-MedLine.d179.s2|150-158|sunitinib|drug
DDI-MedLine.d179.s2|160-168|docetaxel|drug
DDI-MedLine.d179.s2|248-256|EGFR TKIs|drug
DDI-MedLine.d179.s2|258-262|NSCLC|drug
DDI-MedLine.d179.s2|264-272|sunitinib|drug
DDI-MedLine.d179.s2|274-282|docetaxel|drug
DDI-MedLine.d179.s2|362-370|EGFR TKIs|drug
DDI-MedLine.d179.s2|372-376|NSCLC|drug
DDI-MedLine.d179.s2|378-386|sunitinib|drug
DDI-MedLine.d179.s2|388-396|docetaxel|drug
DDI-MedLine.d179.s3|22-59|EGFR T790M mutation and K-ras mutation|group
DDI-MedLine.d179.s6|9-9|s|drug
DDI-MedLine.d179.s6|11-16|groups|group
DDI-MedLine.d179.s6|18-23|brands|brand
DDI-MedLine.d179.s6|25-30|drug_n|drug_n
DDI-MedLine.d179.s6|100-105|groups|group
DDI-MedLine.d179.s6|107-112|brands|brand
DDI-MedLine.d179.s6|114-119|drug_n|drug_n
DDI-MedLine.d179.s6|130-130|s|drug
DDI-MedLine.d179.s6|132-137|groups|group
DDI-MedLine.d179.s6|139-144|brands|brand
DDI-MedLine.d179.s6|146-151|drug_n|drug_n
DDI-MedLine.d179.s6|221-226|groups|group
DDI-MedLine.d179.s6|228-233|brands|brand
DDI-MedLine.d179.s6|235-240|drug_n|drug_n
DDI-MedLine.d179.s6|251-251|s|drug
DDI-MedLine.d179.s6|253-258|groups|group
DDI-MedLine.d179.s6|260-265|brands|brand
DDI-MedLine.d179.s6|267-272|drug_n|drug_n
DDI-MedLine.d179.s6|342-347|groups|group
DDI-MedLine.d179.s6|349-354|brands|brand
DDI-MedLine.d179.s6|356-361|drug_n|drug_n
DDI-MedLine.d179.s6|372-372|s|drug
DDI-MedLine.d179.s6|374-379|groups|group
DDI-MedLine.d179.s6|381-386|brands|brand
DDI-MedLine.d179.s6|388-393|drug_n|drug_n
DDI-MedLine.d179.s9|173-189|clostridium toxin|drug_n
DDI-MedLine.d179.s9|195-200|heroin|drug_n
DDI-MedLine.d179.s9|290-307|acetilsalicic acid|drug
DDI-MedLine.d179.s9|351-362|glutethimide|drug
DDI-MedLine.d159.s0|0-17|acetyl-l-carnitine|drug
DDI-MedLine.d159.s0|23-39|alpha lipoic acid|drug
DDI-MedLine.d159.s1|196-197|FA|drug_n
DDI-MedLine.d159.s2|216-218|DEB|drug
DDI-MedLine.d159.s2|220-246|inhibitors of bioactivation|drug_n
DDI-MedLine.d159.s2|248-263|oxidant defenses|drug
DDI-MedLine.d159.s2|265-279|protective role|drug_n
DDI-MedLine.d159.s2|281-300|DEB-induced toxicity|group
DDI-MedLine.d159.s2|302-309|FA cells|drug
DDI-MedLine.d159.s4|58-69|antioxidants|group
DDI-MedLine.d159.s4|76-106|mitochondrial protective agents|group
DDI-MedLine.d159.s5|46-47|it|group
DDI-MedLine.d159.s6|5-22|acetyl-l-carnitine|drug
DDI-MedLine.d159.s6|114-130|alpha-lipoic acid|group
DDI-MedLine.d159.s7|0-270|Collectively, these findings contribute to increase our knowledge of DEB-induce toxicity and will be very useful when applied in studies with lymphocytes from FA patients, in order to find out a protective agent against spontaneous and DEB-induced chromosome instability.|drug
DDI-MedLine.d164.s1|41-49|lapatinib|drug
DDI-MedLine.d164.s1|133-141|lapatinib|drug
DDI-MedLine.d164.s3|6-13|in vitro|drug
DDI-MedLine.d164.s4|56-64|Herceptin|group
DDI-MedLine.d164.s4|86-94|lapatinib|group
DDI-MedLine.d164.s4|119-127|shrinkage|drug_n
DDI-MedLine.d193.s1|21-30|ticagrelor|group
DDI-MedLine.d193.s1|77-81|toxin|drug_n
DDI-MedLine.d193.s3|44-79| to groups or families of medicines |group
DDI-MedLine.d43.s2|120-131| initiation |drug
DDI-MedLine.d43.s3|154-158|toxin|drug
DDI-MedLine.d43.s4|22-39|acetilsalicic acid|drug
DDI-MedLine.d43.s4|41-52|glutethimide|drug
DDI-MedLine.d43.s4|54-67|anticoagulants|group
