DDI-MedLine.d48.s5|0-28|[(14)C]-diethyl pyrocarbonate|drug
DDI-MedLine.d58.s3|163-172|nimodipine|drug
DDI-MedLine.d58.s3|175-194|omega-conotoxin GVIA|drug
DDI-MedLine.d58.s3|200-217|omega-agatoxin IVA|drug
DDI-MedLine.d47.s2|0-9|Buforin II|drug
DDI-MedLine.d47.s4|0-9|Buforin II|drug
DDI-MedLine.d47.s4|107-118|azithromycin|drug
DDI-MedLine.d47.s4|123-133|minocycline|drug
DDI-MedLine.d65.s0|0-17|acetilsalicic acid|drug
DDI-MedLine.d65.s0|19-30|glutethimide|drug
DDI-MedLine.d65.s0|32-38|aspirin|drug
DDI-MedLine.d65.s0|40-44|xanax|drug
DDI-MedLine.d65.s0|186-203|acetilsalicic acid|drug
DDI-MedLine.d65.s0|205-216|glutethimide|drug
DDI-MedLine.d65.s0|218-224|aspirin|drug
DDI-MedLine.d65.s0|226-230|xanax|drug
DDI-MedLine.d65.s0|372-389|acetilsalicic acid|drug
DDI-MedLine.d65.s0|391-402|glutethimide|drug
DDI-MedLine.d65.s0|404-410|aspirin|drug
DDI-MedLine.d65.s0|412-416|xanax|drug
DDI-MedLine.d65.s0|558-575|acetilsalicic acid|drug
DDI-MedLine.d65.s0|577-588|glutethimide|drug
DDI-MedLine.d65.s1|21-37|theraputic agents|group
DDI-MedLine.d65.s3|0-4|acids|drug
DDI-MedLine.d65.s3|7-20|salicylic acid|drug
DDI-MedLine.d65.s3|23-34|glutethimide|drug
DDI-MedLine.d65.s3|131-137|aspirin|drug
DDI-MedLine.d65.s3|140-144|xanax|brand
DDI-MedLine.d65.s3|180-197|acetilsalicic acid|drug
DDI-MedLine.d65.s3|200-211|glutethimide|drug
DDI-MedLine.d65.s3|308-314|aspirin|drug
DDI-MedLine.d65.s3|317-321|xanax|brand
DDI-MedLine.d65.s3|357-374|acetilsalicic acid|drug
DDI-MedLine.d65.s3|377-388|glutethimide|drug
DDI-MedLine.d65.s3|485-491|aspirin|drug
DDI-MedLine.d65.s3|494-498|xanax|brand
DDI-MedLine.d65.s3|534-551|acetilsalicic acid|drug
DDI-MedLine.d65.s5|560-577|acetilsalicic acid|drug
DDI-MedLine.d65.s5|583-594|glutethimide|drug
DDI-MedLine.d65.s5|692-705|anticoagulants|group
DDI-MedLine.d65.s5|711-727|antifungal agents|group
DDI-MedLine.d65.s5|861-867|aspirin|brand
DDI-MedLine.d65.s5|933-938|heroin|drug_n
DDI-MedLine.d74.s2|216-223|arginine|drug
DDI-MedLine.d74.s3|0-11|Theophylline|drug
DDI-MedLine.d74.s5|0-7|arginine|drug
DDI-MedLine.d74.s5|29-35|glucose|drug
DDI-MedLine.d74.s8|0-7|arginine|drug
DDI-MedLine.d74.s10|0-6|insulin|drug
DDI-MedLine.d74.s10|8-14|glucose|drug
DDI-MedLine.d74.s10|48-54|insulin|drug
DDI-MedLine.d74.s10|56-62|glucose|drug
DDI-MedLine.d74.s10|96-102|insulin|drug
DDI-MedLine.d74.s10|104-110|glucose|drug
DDI-MedLine.d74.s10|144-150|insulin|drug
DDI-MedLine.d74.s10|152-158|glucose|drug
DDI-MedLine.d74.s10|192-198|insulin|drug
DDI-MedLine.d74.s10|200-206|glucose|drug
DDI-MedLine.d74.s10|240-246|insulin|drug
DDI-MedLine.d74.s10|248-254|glucose|drug
DDI-MedLine.d74.s10|288-294|insulin|drug
DDI-MedLine.d74.s10|296-302|glucose|drug
DDI-MedLine.d74.s10|336-342|insulin|drug
DDI-MedLine.d74.s10|344-350|glucose|drug
DDI-MedLine.d74.s10|384-390|insulin|drug
DDI-MedLine.d74.s10|392-398|glucose|drug
DDI-MedLine.d74.s11|108-119|theophylline|drug
DDI-MedLine.d44.s2|30-39|etofibrate|drug
DDI-MedLine.d44.s2|401-410|etofibrate|drug
DDI-MedLine.d44.s2|415-421|placebo|drug
DDI-MedLine.d44.s5|50-60|cholesterol|group
DDI-MedLine.d44.s5|66-77|triglyceride|group
DDI-MedLine.d44.s6|92-106|3H-triglyceride|drug
DDI-MedLine.d44.s7|71-80|etofibrate|drug
DDI-MedLine.d44.s8|131-140|etofibrate|drug
DDI-MedLine.d125.s1|30-48|1,3-difluoroacetone|drug
DDI-MedLine.d125.s4|0-18|1,3-difluoroacetone|drug
DDI-MedLine.d125.s4|20-42|1,3-difluoro-2-propanol|drug
DDI-MedLine.d125.s4|108-126|1,3-difluoroacetone|drug
DDI-MedLine.d125.s6|24-39|4-methylpyrazole|drug
DDI-MedLine.d125.s6|107-129|1,3-difluoro-2-propanol|drug
DDI-MedLine.d125.s6|257-279|1,3-difluoro-2-propanol|drug
DDI-MedLine.d125.s7|27-42|4-methylpyrazole|drug
DDI-MedLine.d125.s8|315-330|4-methylpyrazole|drug
DDI-MedLine.d125.s8|332-354|1,3-difluoro-2-propanol|drug
DDI-MedLine.d125.s8|356-379|NAD+-dependent oxidation|drug
DDI-MedLine.d125.s8|381-399|1,3-difluoroacetone|drug
DDI-MedLine.d125.s8|401-423|1,3-difluoro-2-propanol|drug
DDI-MedLine.d125.s8|425-448|NAD+-dependent oxidation|drug
DDI-MedLine.d125.s8|450-468|1,3-difluoroacetone|drug
DDI-MedLine.d125.s8|470-492|1,3-difluoro-2-propanol|drug
DDI-MedLine.d125.s8|494-517|NAD+-dependent oxidation|drug
DDI-MedLine.d125.s8|519-537|1,3-difluoroacetone|drug
DDI-MedLine.d125.s8|539-561|1,3-difluoro-2-propanol|drug
DDI-MedLine.d125.s8|563-586|NAD+-dependent oxidation|drug
DDI-MedLine.d86.s0|408-416|diltiazem|drug
DDI-MedLine.d86.s0|483-491|sirolimus|drug
DDI-MedLine.d86.s0|668-676|diltiazem|drug
DDI-MedLine.d86.s0|682-690|sirolimus|drug
DDI-MedLine.d86.s1|60-68|sirolimus|drug
DDI-MedLine.d86.s1|156-164|diltiazem|group
DDI-MedLine.d86.s3|0-8|sirolimus|drug
DDI-MedLine.d86.s3|10-18|diltiazem|drug
DDI-MedLine.d86.s3|20-28|sirolimus|drug
DDI-MedLine.d86.s3|30-38|diltiazem|drug
DDI-MedLine.d86.s3|122-130|diltiazem|drug
DDI-MedLine.d86.s3|214-222|diltiazem|drug
DDI-MedLine.d86.s3|306-314|diltiazem|drug
DDI-MedLine.d86.s3|398-406|diltiazem|drug
DDI-MedLine.d86.s3|490-498|diltiazem|drug
DDI-MedLine.d86.s3|582-590|diltiazem|drug
DDI-MedLine.d86.s5|0-8|sirolimus|drug
DDI-MedLine.d86.s5|102-119|acetilsalicic acid|drug
DDI-MedLine.d86.s5|121-132|glutethimide|drug
DDI-MedLine.d86.s5|134-147|anticoagulants|group
DDI-MedLine.d86.s5|149-165|antifungal agents|group
DDI-MedLine.d86.s5|167-177|antibiotics|group
DDI-MedLine.d86.s5|179-185|aspirin|brand
DDI-MedLine.d86.s5|187-191|xanax|brand
DDI-MedLine.d86.s5|193-198|heroin|drug_n
DDI-MedLine.d86.s5|341-346|heroin|drug_n
DDI-MedLine.d86.s5|489-494|heroin|drug_n
DDI-MedLine.d86.s5|637-642|heroin|drug_n
DDI-MedLine.d86.s6|79-81|38%|group
DDI-MedLine.d86.s6|87-89|45%|group
DDI-MedLine.d86.s6|136-144|diltiazem|brand
DDI-MedLine.d1.s0|151-168|erection disorders|drug
DDI-MedLine.d1.s0|283-300|erection disorders|group
DDI-MedLine.d1.s0|401-418|erection disorders|drug_n
DDI-MedLine.d1.s1|209-212|oral|drug
DDI-MedLine.d1.s1|214-244| erection-supporting medication|group
DDI-MedLine.d1.s1|246-249|oral|drug_n
DDI-MedLine.d1.s1|251-254|oral|drug
DDI-MedLine.d1.s1|256-286| erection-supporting medication|group
DDI-MedLine.d1.s1|288-291|oral|drug_n
DDI-MedLine.d1.s1|293-296|oral|drug
DDI-MedLine.d1.s1|298-328| erection-supporting medication|group
DDI-MedLine.d1.s1|330-333|oral|drug_n
DDI-MedLine.d1.s1|335-338|oral|drug
DDI-MedLine.d1.s1|340-370| erection-supporting medication|group
DDI-MedLine.d1.s1|372-375|oral|drug_n
DDI-MedLine.d1.s1|377-380|oral|drug
DDI-MedLine.d1.s1|382-412| erection-supporting medication|group
DDI-MedLine.d1.s1|414-417|oral|drug_n
DDI-MedLine.d1.s1|419-422|oral|drug
DDI-MedLine.d1.s1|424-454| erection-supporting medication|group
DDI-MedLine.d1.s1|456-459|oral|drug_n
DDI-MedLine.d1.s1|461-464|oral|drug
DDI-MedLine.d1.s1|466-496| erection-supporting medication|group
DDI-MedLine.d1.s1|498-501|oral|drug_n
DDI-MedLine.d1.s1|503-506|oral|drug
DDI-MedLine.d1.s1|508-538| erection-supporting medication|group
DDI-MedLine.d1.s1|540-543|oral|drug_n
DDI-MedLine.d1.s1|545-548|oral|drug
DDI-MedLine.d1.s2|0-17|sexual intercourse|drug
DDI-MedLine.d1.s4|85-94|sildenafil|drug
DDI-MedLine.d1.s6|40-61|beta-receptor blockers|group
DDI-MedLine.d1.s6|64-82|calcium antagonists|group
DDI-MedLine.d1.s6|85-111|thiazide and loop diuretics|brand
DDI-MedLine.d1.s6|117-130|ACE inhibitors|group
DDI-MedLine.d1.s8|0-13|blood pressure|drug
DDI-MedLine.d1.s8|19-29|blood sugar|drug
DDI-MedLine.d1.s8|39-53|hyperlipidaemia|group
DDI-MedLine.d1.s8|59-65|obesity|group
DDI-MedLine.d132.s4|0-8|efavirenz|drug
DDI-MedLine.d132.s4|10-19|nevirapine|drug
DDI-MedLine.d132.s4|21-29|indinavir|drug
DDI-MedLine.d132.s6|72-93|antiretroviral therapy|group
DDI-MedLine.d132.s6|105-114|nirapidine|drug
DDI-MedLine.d132.s6|120-130|delavirdine|drug
DDI-MedLine.d132.s6|182-191|nirapidine|drug
DDI-MedLine.d132.s6|197-207|delavirdine|drug
DDI-MedLine.d132.s6|244-252|efavirenz|drug
DDI-MedLine.d132.s6|258-266|tenofovir|drug
DDI-MedLine.d132.s6|316-326|fluconazole|drug
DDI-MedLine.d132.s6|332-345|amphotericin B|drug
DDI-MedLine.d132.s6|371-384|cryptococcosis|group
DDI-MedLine.d132.s6|390-402|aspergillosis|group
DDI-MedLine.d132.s6|423-429|heparin|drug
DDI-MedLine.d132.s6|493-503|fluconazole|drug
DDI-MedLine.d132.s6|522-537|oral candidiasis|group
DDI-MedLine.d132.s6|558-565|warfarin|drug
DDI-MedLine.d132.s6|630-640|fluconazole|drug
DDI-MedLine.d132.s8|19-27|efavirenz|drug
DDI-MedLine.d132.s10|0-8|EFavirenz|drug
DDI-MedLine.d132.s10|44-53|nelfinavir|drug
DDI-MedLine.d23.s1|65-72|Ketamine|drug
DDI-MedLine.d23.s1|75-85|Innovar Vet|brand
DDI-MedLine.d23.s1|252-259|Ketamine|drug
DDI-MedLine.d23.s1|264-274|Innovar Vet|brand
DDI-MedLine.d23.s2|0-6|ouabain|drug
DDI-MedLine.d23.s2|76-82|Innovar|drug
DDI-MedLine.d23.s2|98-107|droperidol|drug
DDI-MedLine.d23.s2|141-147|fentayl|drug
DDI-MedLine.d23.s2|164-176|pentobarbital|drug
DDI-MedLine.d29.s3|274-283|probenecid|drug
DDI-MedLine.d29.s3|472-481|probenecid|drug_n
DDI-MedLine.d29.s5|241-258|acetilsalicic acid|drug
DDI-MedLine.d29.s5|307-318|glutethimide|drug
DDI-MedLine.d29.s5|372-385|anticoagulants|group
DDI-MedLine.d29.s5|449-465|antifungal agents|group
DDI-MedLine.d29.s5|518-524|Aspirin|brand
DDI-MedLine.d29.s5|582-595|anticoagulants|group
DDI-MedLine.d29.s5|650-666|Clostridium toxin|drug_n
DDI-MedLine.d29.s6|0-10|cloxacillin|drug
DDI-MedLine.d29.s8|0-9|probenecid|drug
DDI-MedLine.d29.s8|11-21|cloxacillin|drug
DDI-MedLine.d29.s8|23-32|probenecid|drug
DDI-MedLine.d29.s8|34-44|cloxacillin|drug
DDI-MedLine.d29.s8|46-55|probenecid|drug
DDI-MedLine.d29.s8|57-67|cloxacillin|drug
DDI-MedLine.d29.s8|69-78|probenecid|drug
DDI-MedLine.d29.s8|80-90|cloxacillin|drug
DDI-MedLine.d29.s8|92-101|probenecid|drug
DDI-MedLine.d29.s8|103-113|cloxacillin|drug
DDI-MedLine.d29.s8|115-124|probenecid|drug
DDI-MedLine.d29.s8|126-136|cloxacillin|drug
DDI-MedLine.d29.s8|138-147|probenecid|drug
DDI-MedLine.d29.s8|149-159|cloxacillin|drug
DDI-MedLine.d29.s8|161-170|probenecid|drug
DDI-MedLine.d29.s8|172-182|cloxacillin|drug
DDI-MedLine.d29.s8|184-193|probenecid|drug
DDI-MedLine.d29.s8|195-205|cloxacillin|drug
DDI-MedLine.d29.s8|207-216|probenecid|drug
DDI-MedLine.d29.s8|218-228|cloxacillin|drug
DDI-MedLine.d29.s8|230-239|probenecid|drug
DDI-MedLine.d29.s8|241-251|cloxacillin|drug
DDI-MedLine.d29.s8|253-262|probenecid|drug
DDI-MedLine.d29.s8|264-274|cloxacillin|drug
DDI-MedLine.d29.s8|276-285|probenecid|drug
DDI-MedLine.d29.s8|287-297|cloxacillin|drug
DDI-MedLine.d118.s1|0-26|immunosuppressive therapies|drug
DDI-MedLine.d118.s3|97-105|sirolimus|drug
DDI-MedLine.d118.s3|128-153|cyclosporine or tacrolimus|group
DDI-MedLine.d118.s3|249-260|cyclosporine|drug
DDI-MedLine.d118.s3|265-274|tacrolimus|drug
DDI-MedLine.d185.s2|61-72|ketoconazole|drug
DDI-MedLine.d185.s3|0-11|panobinostat|drug
DDI-MedLine.d185.s4|14-26| ketoconazole|drug
DDI-MedLine.d185.s5|19-30|panobinostat|drug
DDI-MedLine.d185.s11|0-15|hypophosphatemia|drug
DDI-MedLine.d185.s11|18-33|hypophosphatemia|drug
DDI-MedLine.d185.s12|0-11|panobinostat|drug
DDI-MedLine.d185.s12|13-28|CYP3A inhibitors|drug
DDI-MedLine.d185.s12|30-41|panobinostat|drug
DDI-MedLine.d185.s12|43-58|CYP3A inhibitors|drug
DDI-MedLine.d185.s12|60-71|panobinostat|drug
DDI-MedLine.d185.s12|73-88|CYP3A inhibitors|drug
DDI-MedLine.d185.s12|90-101|panobinostat|drug
DDI-MedLine.d185.s12|103-118|CYP3A inhibitors|drug
DDI-MedLine.d185.s12|120-131|panobinostat|drug
DDI-MedLine.d185.s12|133-148|CYP3A inhibitors|drug
DDI-MedLine.d185.s12|150-161|panobinostat|drug
DDI-MedLine.d185.s12|163-178|CYP3A inhibitors|drug
DDI-MedLine.d185.s12|180-191|panobinostat|drug
DDI-MedLine.d185.s12|193-208|CYP3A inhibitors|drug
DDI-MedLine.d185.s12|210-221|panobinostat|drug
DDI-MedLine.d185.s12|223-238|CYP3A inhibitors|drug
DDI-MedLine.d185.s12|240-251|panobinostat|drug
DDI-MedLine.d185.s12|253-268|CYP3A inhibitors|drug
DDI-MedLine.d185.s12|270-281|panobinostat|drug
DDI-MedLine.d185.s12|283-298|CYP3A inhibitors|drug
DDI-MedLine.d185.s12|300-311|panobinostat|drug
DDI-MedLine.d185.s12|313-328|CYP3A inhibitors|drug
DDI-MedLine.d185.s12|330-341|panobinostat|drug
DDI-MedLine.d185.s12|343-358|CYP3A inhibitors|drug
DDI-MedLine.d185.s12|360-371|panobinostat|drug
DDI-MedLine.d180.s2|0-17|acetilsalicic acid|drug
DDI-MedLine.d180.s2|19-30|glutethimide|drug
DDI-MedLine.d180.s2|32-38|aspirin|drug
DDI-MedLine.d180.s2|40-44|xanax|drug
DDI-MedLine.d180.s2|133-150|acetilsalicic acid|drug
DDI-MedLine.d180.s2|152-163|glutethimide|drug
DDI-MedLine.d180.s2|165-171|aspirin|drug
DDI-MedLine.d180.s2|173-177|xanax|drug
DDI-MedLine.d180.s2|266-283|acetilsalicic acid|drug
DDI-MedLine.d180.s2|285-296|glutethimide|drug
DDI-MedLine.d180.s2|298-304|aspirin|drug
DDI-MedLine.d180.s2|306-310|xanax|drug
DDI-MedLine.d180.s2|399-416|acetilsalicic acid|drug
DDI-MedLine.d180.s2|418-429|glutethimide|drug
DDI-MedLine.d180.s2|431-437|aspirin|drug
DDI-MedLine.d180.s2|439-443|xanax|drug
DDI-MedLine.d180.s3|9-13|DZNep|drug
DDI-MedLine.d180.s6|0-7|Aloxitin|drug
DDI-MedLine.d180.s6|90-94|DZNep|drug
DDI-MedLine.d180.s7|51-55|DZNep|drug
DDI-MedLine.d180.s8|8-12|Aloxi|drug
DDI-MedLine.d180.s8|57-61|Aloxi|drug
DDI-MedLine.d180.s8|118-122|Aloxi|drug
DDI-MedLine.d180.s8|167-171|Aloxi|drug
DDI-MedLine.d180.s8|228-232|Aloxi|drug
DDI-MedLine.d180.s8|277-281|Aloxi|drug
DDI-MedLine.d180.s8|338-342|Aloxi|drug
DDI-MedLine.d180.s8|387-391|Aloxi|drug
DDI-MedLine.d180.s8|448-452|Aloxi|drug
DDI-MedLine.d180.s8|497-501|Aloxi|drug
DDI-MedLine.d180.s8|558-562|Aloxi|drug
DDI-MedLine.d180.s8|607-611|Aloxi|drug
DDI-MedLine.d180.s9|57-61|ALOX5|drug
DDI-MedLine.d180.s10|19-23|Bcl-2|drug
DDI-MedLine.d180.s10|113-134|Bcl-2 family inhibitor|group
DDI-MedLine.d180.s12|13-19|ABT-737|drug
DDI-MedLine.d180.s12|25-29|DZNep|drug
DDI-MedLine.d180.s12|88-92|Bcl-2|group
DDI-MedLine.d180.s12|118-124|ABT-737|brand
DDI-MedLine.d180.s12|130-134|DZNep|drug
DDI-MedLine.d181.s0|0-12|levothyroxine|drug
DDI-MedLine.d181.s0|14-31|infant colic drops|drug_n
DDI-MedLine.d181.s1|0-6|Infacol|drug
DDI-MedLine.d181.s3|41-50|documented|drug
DDI-MedLine.d181.s4|85-97|levothyroxine|drug
DDI-MedLine.d181.s5|17-29|levothyroxine|drug
DDI-MedLine.d181.s6|0-12|levothyroxine|drug
DDI-MedLine.d181.s6|14-20|Infacol|drug
DDI-MedLine.d181.s6|22-26|drops|drug
DDI-MedLine.d181.s6|28-33|before|drug
DDI-MedLine.d181.s6|35-39|feeds|drug
DDI-MedLine.d181.s6|41-45|while|drug
DDI-MedLine.d181.s6|97-109|levothyroxine|drug
DDI-MedLine.d181.s6|111-117|Infacol|drug
DDI-MedLine.d181.s6|119-123|drops|drug
DDI-MedLine.d181.s6|125-130|before|drug
DDI-MedLine.d181.s6|132-136|feeds|drug
DDI-MedLine.d181.s6|138-142|while|drug
DDI-MedLine.d181.s6|278-282|drops|drug_n
DDI-MedLine.d181.s6|284-289|before|drug
DDI-MedLine.d181.s6|291-295|feeds|drug
DDI-MedLine.d181.s6|297-301|while|drug
DDI-MedLine.d181.s6|437-441|drops|drug_n
DDI-MedLine.d181.s6|443-448|before|drug
DDI-MedLine.d181.s6|450-454|feeds|drug
DDI-MedLine.d181.s7|50-52|TSH|drug
DDI-MedLine.d181.s8|0-8|thyroxine|drug
DDI-MedLine.d181.s8|10-19|simeticone|drug
DDI-MedLine.d181.s8|21-36|Drug interaction|drug
DDI-MedLine.d181.s8|38-39|of|drug
DDI-MedLine.d181.s8|41-49|thyroxine|drug
DDI-MedLine.d181.s8|51-54|with|drug
DDI-MedLine.d181.s8|56-69|anticoagulants|group
DDI-MedLine.d181.s8|71-86|Drug interaction|drug_n
DDI-MedLine.d181.s8|88-89|of|drug
DDI-MedLine.d181.s8|91-99|thyroxine|drug
DDI-MedLine.d181.s8|101-104|with|drug
DDI-MedLine.d181.s8|106-115|simeticone|drug
DDI-MedLine.d181.s8|117-132|Drug interaction|drug
DDI-MedLine.d181.s8|134-135|of|drug
DDI-MedLine.d181.s8|137-145|thyroxine|drug
DDI-MedLine.d181.s8|147-150|with|drug
DDI-MedLine.d181.s8|152-161|simeticone|drug
DDI-MedLine.d181.s8|163-178|Drug interaction|drug
DDI-MedLine.d181.s8|180-181|of|drug
DDI-MedLine.d181.s8|183-191|thyroxine|drug
DDI-MedLine.d181.s8|193-196|with|drug
DDI-MedLine.d181.s8|198-207|simeticone|drug
DDI-MedLine.d181.s8|209-224|Drug interaction|drug_n
DDI-MedLine.d181.s8|226-227|of|drug
DDI-MedLine.d181.s8|229-237|thyroxine|drug
DDI-MedLine.d181.s8|239-242|with|drug
DDI-MedLine.d181.s8|244-253|simeticone|drug
DDI-MedLine.d181.s8|255-270|Drug interaction|drug
DDI-MedLine.d181.s8|272-273|of|drug
DDI-MedLine.d181.s8|275-283|thyroxine|drug
DDI-MedLine.d169.s0|0-6|Calcium|drug
DDI-MedLine.d169.s1|0-6|Calcium|drug
DDI-MedLine.d169.s3|52-58|calcium|drug
DDI-MedLine.d169.s4|102-115|anticoagulants|group
DDI-MedLine.d169.s4|121-127|aspirin|brand
DDI-MedLine.d169.s7|0-15|calcium chloride|drug
DDI-MedLine.d169.s7|37-43|calcium|drug
DDI-MedLine.d169.s7|64-71|minerals|group
DDI-MedLine.d169.s8|0-6|Calcium|drug
DDI-MedLine.d169.s10|65-71|calcium|drug
DDI-MedLine.d169.s10|128-134|sulfate|group
DDI-MedLine.d169.s10|139-145|sulfate|brand
DDI-MedLine.d169.s10|161-164|iron|drug_n
DDI-MedLine.d169.s10|169-172|iron|group
DDI-MedLine.d179.s0|32-40|sunitinib|drug
DDI-MedLine.d179.s0|46-54|docetaxel|drug
DDI-MedLine.d179.s1|0-8|sunitinib|drug
DDI-MedLine.d179.s2|0-8|sunitinib|drug
DDI-MedLine.d179.s2|14-22|docetaxel|drug
DDI-MedLine.d179.s3|0-3|EGFR|drug
DDI-MedLine.d179.s3|5-23|EGFR T790M mutation|drug
DDI-MedLine.d179.s3|25-38|K-ras mutation|drug
DDI-MedLine.d179.s3|40-48|sunitinib|drug
DDI-MedLine.d179.s3|50-58|docetaxel|drug
DDI-MedLine.d179.s7|27-35|docetaxel|drug
DDI-MedLine.d179.s7|50-58|sunitinib|drug_n
DDI-MedLine.d159.s0|21-38|acetyl-l-carnitine|drug
DDI-MedLine.d159.s0|44-60|alpha lipoic acid|drug
DDI-MedLine.d159.s1|61-81|1,2:3,4-diepoxybutane|drug
DDI-MedLine.d159.s1|153-154|FA|brand
DDI-MedLine.d159.s4|58-69|antioxidants|drug
DDI-MedLine.d159.s5|47-62|<drug>DEB</drug>|group
DDI-MedLine.d159.s5|47-49|DEB|drug
DDI-MedLine.d159.s7|0-2|DEB|drug
DDI-MedLine.d159.s7|4-8|toxin|drug
DDI-MedLine.d159.s7|10-20|anphetamine|drug
DDI-MedLine.d159.s7|22-24|DEB|drug_n
DDI-MedLine.d159.s7|26-30|toxin|drug
DDI-MedLine.d159.s7|112-114|DEB|drug
DDI-MedLine.d159.s7|165-167|DEB|drug_n
DDI-MedLine.d159.s7|249-251|DEB|drug_n
DDI-MedLine.d159.s7|382-384|DEB|drug_n
DDI-MedLine.d159.s7|515-517|DEB|drug_n
DDI-MedLine.d164.s5|44-52|Lapatinib|drug
DDI-MedLine.d164.s5|88-96|Lapatinib|drug
DDI-MedLine.d164.s5|132-140|Lapatinib|drug
DDI-MedLine.d164.s5|176-184|Lapatinib|drug
DDI-MedLine.d193.s1|21-30|ticagrelor|drug
DDI-MedLine.d43.s3|0-152|Analyses of this sequence, however, usually give little consideration to the nature of the target cell or to the characteristics of the resultant tumors.|drug
DDI-MedLine.d43.s9|200-216| cyclophosphamide|drug
DDI-MedLine.d43.s9|219-231| chlorambucil|drug
DDI-MedLine.d43.s9|234-242| busulfan|drug
DDI-MedLine.d43.s9|249-261| cyclosporine|drug
DDI-MedLine.d43.s9|545-561| cyclophosphamide|drug
DDI-MedLine.d43.s9|598-611| mammary gland|group
DDI-MedLine.d43.s9|626-638| chlorambucil|drug
DDI-MedLine.d43.s9|674-682| lymphoid|group
DDI-MedLine.d100.s4|0-8|Adenosine|drug
DDI-MedLine.d100.s5|0-8|verapamil|drug
DDI-MedLine.d100.s5|10-18|diltiazem|drug
DDI-MedLine.d100.s5|20-29|nifedipine|drug
DDI-MedLine.d100.s5|31-59|Slow-channel calcium blockers|drug
DDI-MedLine.d100.s6|0-13|thromboxane A2|drug
DDI-MedLine.d100.s6|15-41|platelet nucleotide release|drug
DDI-MedLine.d100.s6|125-138|thromboxane A2|drug
DDI-MedLine.d73.s2|143-151|pargyline|drug
DDI-MedLine.d73.s3|83-93|amphetamine|drug
DDI-MedLine.d73.s3|147-157|apomorphine|drug
DDI-MedLine.d31.s2|71-84|rearrangements|drug
DDI-MedLine.d31.s2|142-163|genomic rearrangements|group
DDI-MedLine.d31.s2|207-220|rearrangements|drug
DDI-MedLine.d31.s2|272-293|genomic rearrangements|drug_n
DDI-MedLine.d31.s2|435-448|rearrangements|drug
DDI-MedLine.d31.s2|500-521|genomic rearrangements|group
DDI-DrugBank.d449.s0|49-60|ketoconazole|drug
DDI-DrugBank.d449.s0|65-76|itraconazole|drug
DDI-DrugBank.d8.s0|0-6|ALFENTA|drug
DDI-DrugBank.d8.s0|8-19|barbiturates|drug
DDI-DrugBank.d8.s0|21-33|tranquilizers|drug
DDI-DrugBank.d8.s0|35-40|opoids|drug
DDI-DrugBank.d8.s0|42-71|inhalation general anesthetics|drug
DDI-DrugBank.d8.s0|73-79|ALFENTA|drug
DDI-DrugBank.d8.s5|10-16|smaller|drug
DDI-DrugBank.d8.s5|117-121|my be|drug_n
DDI-DrugBank.d416.s3|30-39|probenecid|drug
