DDI-MedLine.d48.s3|0-20|Diethyl pyrocarbonate|drug_n
DDI-MedLine.d106.s4|67-79|phenobarbital|drug
DDI-MedLine.d106.s4|82-93|secobarbital|drug
DDI-MedLine.d106.s4|99-110|glutethimide|drug
DDI-MedLine.d106.s5|81-95|chloral hydrate|drug
DDI-MedLine.d106.s5|101-112|methaqualone|drug
DDI-MedLine.d106.s6|0-11|Barbiturates|group
DDI-MedLine.d106.s6|17-28|glutethimide|drug
DDI-MedLine.d106.s6|79-92|coumarin drugs|group
DDI-MedLine.d106.s6|104-115|Barbiturates|drug
DDI-MedLine.d106.s6|121-132|glutethimide|drug
DDI-MedLine.d106.s6|183-87||group
DDI-MedLine.d106.s6|208-219|Barbiturates|drug
DDI-MedLine.d106.s6|225-236|glutethimide|drug
DDI-MedLine.d106.s6|287-181||group
DDI-MedLine.d106.s6|321-332|Barbiturates|drug
DDI-MedLine.d106.s6|338-349|glutethimide|drug
DDI-MedLine.d106.s6|400-183||group
DDI-MedLine.d106.s7|115-119|Drugs|group
DDI-MedLine.d106.s7|209-213|Drugs|group
DDI-MedLine.d106.s7|303-307|Drugs|group
DDI-MedLine.d106.s7|397-401|Drugs|group
DDI-MedLine.d106.s7|491-495|Drugs|group
DDI-MedLine.d106.s7|585-589|Drugs|group
DDI-MedLine.d106.s7|679-683|Drugs|group
DDI-MedLine.d106.s7|773-777|Drugs|group
DDI-MedLine.d106.s7|867-871|Drugs|group
DDI-MedLine.d106.s8|0-14|Chloral hydrate|drug
DDI-MedLine.d106.s8|20-31|methaqualone|drug
DDI-MedLine.d106.s8|85-104|anticoagulant agents|group
DDI-MedLine.d106.s8|151-165|Chloral hydrate|drug
DDI-MedLine.d106.s8|171-182|methaqualone|drug
DDI-MedLine.d106.s8|236-255|anticoagulant agents|group
DDI-MedLine.d106.s8|302-316|Chloral hydrate|drug
DDI-MedLine.d106.s8|322-333|methaqualone|drug
DDI-MedLine.d106.s8|387-406|anticoagulant agents|group
DDI-MedLine.d106.s8|453-467|Chloral hydrate|drug
DDI-MedLine.d106.s8|473-484|methaqualone|drug
DDI-MedLine.d106.s8|538-557|anticoagulant agents|group
DDI-MedLine.d106.s8|604-618|Chloral hydrate|drug
DDI-MedLine.d106.s8|624-635|methaqualone|drug
DDI-MedLine.d106.s8|689-708|anticoagulant agents|group
DDI-MedLine.d106.s8|755-769|Chloral hydrate|drug
DDI-MedLine.d106.s8|775-786|methaqualone|drug
DDI-MedLine.d106.s9|21-35|chloral hydrate|drug
DDI-MedLine.d106.s9|41-52|methaqualone|drug
DDI-MedLine.d106.s9|151-163|anticoagulant|group
DDI-MedLine.d59.s0|77-85|carbachol|drug
DDI-MedLine.d59.s2|31-39|carbachol|drug
DDI-MedLine.d59.s3|38-46|carbachol|drug
DDI-MedLine.d59.s4|0-13|Cytochalasin D|drug
DDI-MedLine.d59.s4|75-83|carbachol|drug
DDI-MedLine.d59.s4|108-111|cAMP|drug
DDI-MedLine.d59.s4|142-150|histamine|drug
DDI-MedLine.d59.s4|156-159|cAMP|drug
DDI-MedLine.d59.s5|0-13|Cytochalasin D|drug
DDI-MedLine.d59.s5|29-37|carbachol|drug
DDI-MedLine.d59.s6|29-42|cytochalasin D|drug_n
DDI-MedLine.d59.s6|290-303|cytochalasin D|drug_n
DDI-MedLine.d59.s6|664-677|cytochalasin D|drug_n
DDI-MedLine.d59.s6|725-738|cytochalasin D|drug_n
DDI-MedLine.d58.s0|10-21|ginsenosides|group
DDI-MedLine.d58.s1|39-50|ginsenosides|group
DDI-MedLine.d58.s2|44-55|ginsenosides|drug_n
DDI-MedLine.d58.s3|44-55|ginsenosides|drug_n
DDI-MedLine.d58.s3|163-172|nimodipine|drug
DDI-MedLine.d58.s3|184-203|omega-conotoxin GVIA|drug_n
DDI-MedLine.d58.s3|218-235|omega-agatoxin IVA|drug_n
DDI-MedLine.d58.s4|22-33|ginsenosides|group
DDI-MedLine.d58.s6|0-9|Nimodipine|drug
DDI-MedLine.d58.s6|28-39|ginsenosides|drug_n
DDI-MedLine.d58.s7|24-35|ginsenosides|group
DDI-MedLine.d58.s7|135-154|omega-conotoxin GVIA|drug_n
DDI-MedLine.d58.s7|187-204|omega-agatoxin IVA|drug_n
DDI-MedLine.d58.s7|237-246|nimodipine|drug
DDI-MedLine.d58.s7|269-286|omega-agatoxin VIA|drug_n
DDI-MedLine.d58.s7|379-390|ginsenosides|group
DDI-MedLine.d58.s7|490-279||drug_n
DDI-MedLine.d58.s7|542-318||drug_n
DDI-MedLine.d58.s7|592-601|nimodipine|drug
DDI-MedLine.d58.s7|624-319||drug_n
DDI-MedLine.d58.s8|71-82|ginsenosides|drug_n
DDI-MedLine.d58.s8|171-177|ginseng|drug
DDI-MedLine.d47.s0|12-21|buforin II|drug_n
DDI-MedLine.d47.s0|53-64|azithromycin|drug
DDI-MedLine.d47.s0|70-80|minocycline|drug
DDI-MedLine.d47.s1|46-55|buforin II|drug_n
DDI-MedLine.d47.s1|87-98|azithromycin|drug
DDI-MedLine.d47.s1|104-114|minocycline|drug
DDI-MedLine.d47.s3|69-80|azithromycin|drug
DDI-MedLine.d47.s3|85-95|minocycline|drug
DDI-MedLine.d47.s4|0-9|Buforin II|drug_n
DDI-MedLine.d47.s4|107-118|azithromycin|drug
DDI-MedLine.d47.s4|123-133|minocycline|drug
DDI-MedLine.d65.s1|241-258|therapeutic agents|group
DDI-MedLine.d65.s1|264-281|therapeutic agents|group
DDI-MedLine.d65.s1|485-502|therapeutic agents|group
DDI-MedLine.d65.s1|508-525|therapeutic agents|group
DDI-MedLine.d65.s1|729-746|therapeutic agents|group
DDI-MedLine.d65.s1|752-769|therapeutic agents|group
DDI-MedLine.d65.s1|973-990|therapeutic agents|group
DDI-MedLine.d65.s1|996-1013|therapeutic agents|group
DDI-MedLine.d65.s2|208-212|While|group
DDI-MedLine.d65.s2|415-418|Drug|drug
DDI-MedLine.d65.s2|597-600|Drug|drug
DDI-MedLine.d65.s2|779-782|Drug|drug
DDI-MedLine.d65.s2|961-964|Drug|drug
DDI-MedLine.d65.s2|1143-1146|Drug|drug
DDI-MedLine.d65.s5|180-198|narcotic analgesics|group
DDI-MedLine.d65.s5|261-271|other drugs|group
DDI-MedLine.d65.s5|328-340|pentobarbital|group
DDI-MedLine.d65.s5|358-370|pentobarbital|group
DDI-MedLine.d65.s5|425-435|other drugs|group
DDI-MedLine.d65.s5|459-471|pentobarbital|group
DDI-MedLine.d65.s5|528-538|other drugs|group
DDI-MedLine.d65.s5|563-581|narcotic analgesics|group
DDI-MedLine.d65.s5|640-650|other drugs|group
DDI-MedLine.d65.s5|707-719|pentobarbital|drug
DDI-MedLine.d65.s5|733-745|pentobarbital|drug
DDI-MedLine.d65.s5|800-810|other drugs|group
DDI-MedLine.d65.s5|830-840|other drugs|group
DDI-MedLine.d65.s5|897-909|pentobarbital|drug
DDI-MedLine.d74.s0|13-20|arginine|drug
DDI-MedLine.d74.s1|75-81|insulin|drug
DDI-MedLine.d74.s1|119-126|glucagon|drug
DDI-MedLine.d74.s1|143-149|glucose|drug
DDI-MedLine.d74.s2|69-76|glucagon|drug
DDI-MedLine.d74.s2|216-223|arginine|drug
DDI-MedLine.d74.s2|233-239|glucose|drug
DDI-MedLine.d74.s2|275-286|theophylline|drug
DDI-MedLine.d74.s2|304-315|theophylline|drug_n
DDI-MedLine.d74.s2|505-289||drug
DDI-MedLine.d74.s2|634-503||drug
DDI-MedLine.d74.s2|764-632||drug
DDI-MedLine.d74.s3|0-11|Theophylline|drug
DDI-MedLine.d74.s3|36-42|insulin|drug
DDI-MedLine.d74.s3|48-55|glucagon|drug
DDI-MedLine.d74.s3|141-84||drug
DDI-MedLine.d74.s3|153-96||drug
DDI-MedLine.d74.s3|246-127||drug
DDI-MedLine.d74.s3|258-140||drug
DDI-MedLine.d74.s3|351-175||drug
DDI-MedLine.d74.s3|363-187||drug
DDI-MedLine.d74.s3|456-218||drug
DDI-MedLine.d74.s3|468-231||drug
DDI-MedLine.d74.s3|561-266||drug
DDI-MedLine.d74.s3|573-278||drug
DDI-MedLine.d74.s3|666-309||drug
DDI-MedLine.d74.s4|0-6|Glucose|drug
DDI-MedLine.d74.s4|38-49|theophylline|drug
DDI-MedLine.d74.s4|69-75|insulin|drug
DDI-MedLine.d74.s4|109-116|glucagon|drug
DDI-MedLine.d74.s5|0-7|Arginine|drug
DDI-MedLine.d74.s5|29-35|glucose|drug
DDI-MedLine.d74.s5|41-52|theophylline|drug
DDI-MedLine.d74.s5|72-79|glucagon|drug
DDI-MedLine.d74.s5|107-113|insulin|drug
DDI-MedLine.d74.s6|0-7|Arginine|drug
DDI-MedLine.d74.s6|28-34|glucose|drug
DDI-MedLine.d74.s6|39-50|theophylline|drug
DDI-MedLine.d74.s6|70-77|glucagon|drug
DDI-MedLine.d74.s6|121-127|insulin|drug
DDI-MedLine.d74.s8|12-19|arginine|drug
DDI-MedLine.d74.s9|110-117|arginine|drug
DDI-MedLine.d74.s10|36-42|insulin|drug
DDI-MedLine.d74.s10|71-77|glucose|drug
DDI-MedLine.d74.s11|108-119|theophylline|drug
DDI-MedLine.d74.s11|156-162|glucose|drug
DDI-MedLine.d44.s0|11-20|etofibrate|drug
DDI-MedLine.d44.s2|30-39|etofibrate|drug
DDI-MedLine.d44.s2|401-410|etofibrate|drug
DDI-MedLine.d44.s5|6-15|etofibrate|drug
DDI-MedLine.d44.s6|0-9|Etofibrate|drug
DDI-MedLine.d44.s7|71-80|etofibrate|drug
DDI-MedLine.d44.s8|30-39|etofibrate|drug
DDI-MedLine.d125.s0|42-48|gliftor|drug
DDI-MedLine.d125.s0|69-87|1,3-difluoroacetone|drug_n
DDI-MedLine.d125.s0|92-116|(-)-erythro-fluorocitrate|drug_n
DDI-MedLine.d125.s1|30-48|1,3-difluoroacetone|drug_n
DDI-MedLine.d125.s1|111-117|Gliftor|brand
DDI-MedLine.d125.s1|120-142|1,3-difluoro-2-propanol|drug_n
DDI-MedLine.d125.s2|91-109|1,3-difluoroacetone|drug_n
DDI-MedLine.d125.s2|114-138|(-)-erythro-fluorocitrate|drug_n
DDI-MedLine.d125.s3|18-36|1,3-difluoroacetone|drug_n
DDI-MedLine.d125.s3|94-105|(-)-erythro-|drug_n
DDI-MedLine.d125.s3|183-190|fluorine|drug
DDI-MedLine.d125.s4|19-22|1,3-|drug_n
DDI-MedLine.d125.s4|98-98|-|drug
DDI-MedLine.d125.s4|229-29||drug_n
DDI-MedLine.d125.s4|280-92||drug_n
DDI-MedLine.d125.s4|386-105||drug_n
DDI-MedLine.d125.s4|514-197||drug_n
DDI-MedLine.d125.s4|582-228||drug
DDI-MedLine.d125.s5|181-184|(-)-|drug_n
DDI-MedLine.d125.s6|24-39|4-methylpyrazole|drug_n
DDI-MedLine.d125.s6|107-129|1,3-difluoro-2-propanol|drug_n
DDI-MedLine.d125.s6|162-186|(-)-erythro-fluorocitrate|drug_n
DDI-MedLine.d125.s6|217-224|fluorine|drug
DDI-MedLine.d125.s6|230-236|citrate|drug
DDI-MedLine.d125.s6|257-279|1,3-difluoro-2-propanol|drug
DDI-MedLine.d125.s7|27-42|4-methylpyrazole|drug_n
DDI-MedLine.d125.s7|96-114|1,3-difluoroacetone|drug_n
DDI-MedLine.d125.s7|174-198|(-)-erythro-fluorocitrate|drug_n
DDI-MedLine.d125.s7|231-238|fluoride|drug
DDI-MedLine.d125.s7|243-249|citrate|drug
DDI-MedLine.d125.s8|62-77|4-methylpyrazole|drug_n
DDI-MedLine.d125.s8|108-130|1,3-difluoro-2-propanol|drug_n
DDI-MedLine.d125.s8|224-246|1,3-difluoro-2-propanol|drug_n
DDI-MedLine.d125.s8|251-269|1,3-difluoroacetone|drug_n
DDI-MedLine.d86.s0|57-65|diltiazem|drug
DDI-MedLine.d86.s0|71-79|sirolimus|drug
DDI-MedLine.d86.s1|60-68|sirolimus|drug
DDI-MedLine.d86.s1|73-99|macrolide immunosuppressant|group
DDI-MedLine.d86.s1|132-154|calcium channel blocker|group
DDI-MedLine.d86.s1|156-164|diltiazem|drug
DDI-MedLine.d86.s2|82-104|immunosuppressive drugs|group
DDI-MedLine.d86.s2|154-172|calcium antagonists|group
DDI-MedLine.d86.s3|176-184|sirolimus|drug
DDI-MedLine.d86.s3|216-224|diltiazem|drug
DDI-MedLine.d86.s5|66-74|sirolimus|drug
DDI-MedLine.d86.s5|253-261|diltiazem|drug
DDI-MedLine.d86.s5|323-331|sirolimus|drug
DDI-MedLine.d86.s5|454-367||drug
DDI-MedLine.d86.s5|641-373||drug
DDI-MedLine.d86.s5|711-442||drug
DDI-MedLine.d86.s6|54-62|sirolimus|drug
DDI-MedLine.d86.s6|111-119|sirolimus|drug
DDI-MedLine.d86.s6|136-144|diltiazem|drug
DDI-MedLine.d86.s7|87-95|diltiazem|drug
DDI-MedLine.d86.s7|98-115|desacetyldiltiazem|drug
DDI-MedLine.d86.s7|122-139|desmethyldiltiazem|drug_n
DDI-MedLine.d86.s7|182-190|sirolimus|drug
DDI-MedLine.d86.s7|231-239|diltiazem|drug
DDI-MedLine.d86.s8|25-33|diltiazem|drug
DDI-MedLine.d86.s8|68-76|sirolimus|drug
DDI-MedLine.d86.s8|145-153|sirolimus|drug
DDI-MedLine.d86.s9|72-80|sirolimus|drug
DDI-MedLine.d86.s9|82-90|diltiazem|drug
DDI-MedLine.d86.s9|117-125|sirolimus|drug
DDI-MedLine.d1.s0|1073-1082|sildenafil|drug
DDI-MedLine.d1.s0|1085-1090|Viagra|brand
DDI-MedLine.d1.s0|1214-1226|beta blockers|group
DDI-MedLine.d1.s3|120-122|Sex|drug
DDI-MedLine.d1.s3|199-208|Myocardial|drug
DDI-MedLine.d1.s3|361-363|Sex|drug
DDI-MedLine.d1.s3|440-449|Myocardial|drug
DDI-MedLine.d1.s3|602-604|Sex|drug
DDI-MedLine.d1.s3|681-690|Myocardial|drug
DDI-MedLine.d1.s3|843-845|Sex|drug
DDI-MedLine.d1.s3|922-931|Myocardial|drug
DDI-MedLine.d1.s4|85-94|sildenafil|drug
DDI-MedLine.d1.s5|0-9|Sildenafil|drug
DDI-MedLine.d1.s5|60-67|nitrates|group
DDI-MedLine.d1.s5|105-112|nitrates|group
DDI-MedLine.d1.s6|40-61|beta-receptor blockers|group
DDI-MedLine.d1.s6|64-82|calcium antagonists|group
DDI-MedLine.d1.s6|85-92|thiazide|group
DDI-MedLine.d1.s6|98-111|loop diuretics|group
DDI-MedLine.d1.s6|117-130|ACE inhibitors|group
DDI-MedLine.d1.s6|133-194|No interactions have been observed with beta-receptor blockers|group
DDI-MedLine.d1.s6|197-215|calcium antagonists|group
DDI-MedLine.d1.s6|218-225|thiazide|group
DDI-MedLine.d1.s6|231-244|loop diuretics|group
DDI-MedLine.d1.s6|250-263|ACE inhibitors|group
DDI-MedLine.d1.s6|266-327|No interactions have been observed with beta-receptor blockers|group
DDI-MedLine.d1.s6|330-348|calcium antagonists|group
DDI-MedLine.d1.s6|351-358|thiazide|group
DDI-MedLine.d1.s6|364-377|loop diuretics|group
DDI-MedLine.d1.s6|383-396|ACE inhibitors|group
DDI-MedLine.d1.s6|399-460|No interactions have been observed with beta-receptor blockers|group
DDI-MedLine.d1.s6|463-481|calcium antagonists|group
DDI-MedLine.d1.s6|484-491|thiazide|group
DDI-MedLine.d1.s6|497-510|loop diuretics|group
DDI-MedLine.d1.s6|516-529|ACE inhibitors|group
DDI-MedLine.d1.s6|532-593|No interactions have been observed with beta-receptor blockers|group
DDI-MedLine.d1.s6|596-614|calcium antagonists|group
DDI-MedLine.d1.s6|617-624|thiazide|group
DDI-MedLine.d1.s7|202-216|Pharmacological|group
DDI-MedLine.d1.s7|284-289|Sexual|group
DDI-MedLine.d1.s7|340-345|Mental|group
DDI-MedLine.d1.s7|373-382|Medication|group
DDI-MedLine.d1.s7|419-432|Pharmaceutical|group
DDI-MedLine.d1.s7|500-505|Sexual|group
DDI-MedLine.d1.s7|556-561|Mental|group
DDI-MedLine.d1.s7|589-598|Medication|group
DDI-MedLine.d1.s7|635-649|Pharmacological|group
DDI-MedLine.d1.s7|717-722|Sexual|group
DDI-MedLine.d1.s7|773-778|Mental|group
DDI-MedLine.d1.s7|806-815|Medication|group
DDI-MedLine.d1.s7|852-866|Pharmacological|group
DDI-MedLine.d132.s0|22-68|non-nucleoside reverse transcriptase inhibitors|group
DDI-MedLine.d132.s1|27-72|non-nucleoside reverse transcriptase inhibitor|group
DDI-MedLine.d132.s1|75-79|NNRTI|group
DDI-MedLine.d132.s1|147-164|protease inhibitor|group
DDI-MedLine.d132.s1|167-168|PI|group
DDI-MedLine.d132.s2|0-4|NNRTI|group
DDI-MedLine.d132.s2|54-55|PI|group
DDI-MedLine.d132.s2|242-246|NNRTI|group
DDI-MedLine.d132.s2|252-253|PI|group
DDI-MedLine.d132.s2|297-298|PI|group
DDI-MedLine.d132.s2|485-489|NNRTI|group
DDI-MedLine.d132.s2|495-496|PI|group
DDI-MedLine.d132.s2|540-541|PI|group
DDI-MedLine.d132.s2|728-732|NNRTI|group
DDI-MedLine.d132.s2|738-739|PI|group
DDI-MedLine.d132.s2|783-784|PI|group
DDI-MedLine.d132.s2|971-975|NNRTI|group
DDI-MedLine.d132.s2|981-982|PI|group
DDI-MedLine.d132.s3|90-98|efavirenz|drug
DDI-MedLine.d132.s3|101-110|nevirapine|drug
DDI-MedLine.d132.s3|115-125|delavirdine|drug
DDI-MedLine.d132.s4|5-13|efavirenz|drug
DDI-MedLine.d132.s4|19-28|nevirapine|drug
DDI-MedLine.d132.s4|79-87|indinavir|drug
DDI-MedLine.d132.s4|166-175|nevirapine|drug
DDI-MedLine.d132.s4|216-224|efavirenz|drug
DDI-MedLine.d132.s5|38-47|nevirapine|drug
DDI-MedLine.d132.s5|75-84|nelfinavir|drug
DDI-MedLine.d132.s6|72-81|nevirapine|drug
DDI-MedLine.d132.s6|87-97|delavirdine|drug
DDI-MedLine.d132.s8|19-27|efavirenz|drug
DDI-MedLine.d132.s8|34-42|indinavir|drug
DDI-MedLine.d132.s9|118-122|NNRTI|group
DDI-MedLine.d132.s10|0-8|Efavirenz|drug
DDI-MedLine.d132.s10|44-53|nelfinavir|drug
DDI-MedLine.d132.s11|20-25|NNRTIs|group
DDI-MedLine.d132.s12|36-41|NNRTIs|group
DDI-MedLine.d23.s0|15-22|ketamine|drug
DDI-MedLine.d23.s0|31-37|Innovar|brand
DDI-MedLine.d23.s0|53-61|digitalis|group
DDI-MedLine.d23.s1|19-27|digitalis|group
DDI-MedLine.d23.s1|65-72|ketamine|drug
DDI-MedLine.d23.s1|75-81|Innovar|brand
DDI-MedLine.d23.s1|98-79||drug
DDI-MedLine.d23.s1|127-97||drug
DDI-MedLine.d23.s1|220-120||drug
DDI-MedLine.d23.s1|234-213||drug
DDI-MedLine.d23.s1|246-252|Innovar|brand
DDI-MedLine.d23.s1|264-228||drug
DDI-MedLine.d23.s2|35-41|ouabain|drug
DDI-MedLine.d23.s2|111-117|Innovar|brand
DDI-MedLine.d23.s2|120-127|ketamine|drug
DDI-MedLine.d23.s2|133-142|droperidol|drug
DDI-MedLine.d23.s2|176-182|fentayl|drug
DDI-MedLine.d23.s2|199-211|pentobarbital|drug
DDI-MedLine.d138.s0|20-27|oxytocin|drug
DDI-MedLine.d138.s0|33-52|antidiuretic hormone|drug
DDI-MedLine.d138.s1|45-52|oxytocin|drug
DDI-MedLine.d138.s1|58-68|vasopressin|drug
DDI-MedLine.d138.s2|44-51|oxytocin|drug
DDI-MedLine.d138.s2|73-83|vasopressin|drug
DDI-MedLine.d29.s0|10-19|probenecid|drug
DDI-MedLine.d29.s0|79-89|cloxacillin|drug
DDI-MedLine.d29.s2|49-59|penicillins|group
DDI-MedLine.d29.s2|65-77|cephaloridine|drug
DDI-MedLine.d29.s2|111-120|probenecid|drug
DDI-MedLine.d29.s3|21-30|probenecid|drug
DDI-MedLine.d29.s3|75-85|cloxacillin|drug
DDI-MedLine.d29.s3|124-134|cloxacillin|drug
DDI-MedLine.d29.s3|275-284|probenecid|drug
DDI-MedLine.d29.s4|93-103|cloxacillin|drug
DDI-MedLine.d29.s4|122-131|probenecid|drug
DDI-MedLine.d29.s6|27-37|cloxacillin|drug
DDI-MedLine.d29.s7|134-143|probenecid|drug
DDI-MedLine.d29.s8|41-50|probenecid|drug
DDI-MedLine.d29.s8|74-84|cloxacillin|drug
DDI-MedLine.d118.s0|0-8|Sirolimus|drug
DDI-MedLine.d118.s1|8-24|immunosuppressive|group
DDI-MedLine.d118.s2|0-8|Sirolimus|drug
DDI-MedLine.d118.s2|37-54|immunosuppressants|group
DDI-MedLine.d118.s2|148-156|sirolimus|drug
DDI-MedLine.d118.s2|231-242|cyclosporine|drug
DDI-MedLine.d118.s2|247-256|tacrolimus|drug
DDI-MedLine.d118.s3|97-105|sirolimus|drug
DDI-MedLine.d118.s3|128-139|cyclosporine|drug
DDI-MedLine.d118.s3|144-153|tacrolimus|drug
DDI-MedLine.d118.s3|249-260|cyclosporine|drug
DDI-MedLine.d118.s3|265-274|tacrolimus|drug
DDI-MedLine.d118.s3|295-301|steroid|drug
DDI-MedLine.d185.s0|10-21|ketoconazole|drug
DDI-MedLine.d185.s0|82-93|panobinostat|drug
DDI-MedLine.d185.s0|96-101|LBH589|drug
DDI-MedLine.d185.s1|0-11|Panobinostat|drug
DDI-MedLine.d185.s2|61-72|ketoconazole|drug
DDI-MedLine.d185.s2|113-124|panobinostat|drug
DDI-MedLine.d185.s3|27-38|panobinostat|drug
DDI-MedLine.d185.s4|13-24|ketoconazole|drug
DDI-MedLine.d185.s5|19-30|panobinostat|drug
DDI-MedLine.d185.s5|62-73|ketoconazole|drug
DDI-MedLine.d185.s6|0-11|Panobinostat|drug
DDI-MedLine.d185.s7|19-30|ketoconazole|drug
DDI-MedLine.d185.s7|92-103|panobinostat|drug
DDI-MedLine.d185.s9|17-28|panobinostat|drug
DDI-MedLine.d185.s12|21-32|panobinostat|drug
DDI-MedLine.d185.s12|96-107|panobinostat|drug
DDI-MedLine.d185.s13|104-115|panobinostat|drug
DDI-MedLine.d185.s13|176-187|panobinostat|drug
DDI-MedLine.d180.s0|31-35|DZNep|drug
DDI-MedLine.d180.s1|4-22|3-Deazaneplanocin A|drug_n
DDI-MedLine.d180.s1|25-29|DZNep|drug
DDI-MedLine.d180.s1|205-22||drug_n
DDI-MedLine.d180.s1|226-230|DZNep|drug
DDI-MedLine.d180.s1|406-177||drug_n
DDI-MedLine.d180.s1|427-431|DZNep|drug
DDI-MedLine.d180.s1|545-197||drug_n
DDI-MedLine.d180.s1|566-570|DZNep|drug
DDI-MedLine.d180.s3|24-28|DZNep|drug
DDI-MedLine.d180.s3|224-226|RNA|drug
DDI-MedLine.d180.s3|248-252|DZNep|drug
DDI-MedLine.d180.s3|448-450|RNA|drug
DDI-MedLine.d180.s3|472-476|DZNep|drug
DDI-MedLine.d180.s3|672-674|RNA|drug
DDI-MedLine.d180.s3|696-700|DZNep|drug
DDI-MedLine.d180.s3|896-898|RNA|drug
DDI-MedLine.d180.s4|120-124|ALOX5|drug_n
DDI-MedLine.d180.s4|240-244|ALOX5|drug_n
DDI-MedLine.d180.s4|360-364|ALOX5|drug_n
DDI-MedLine.d180.s4|480-484|ALOX5|drug_n
DDI-MedLine.d180.s4|600-604|ALOX5|drug_n
DDI-MedLine.d180.s4|720-724|ALOX5|drug_n
DDI-MedLine.d180.s6|119-123|DZNep|drug
DDI-MedLine.d180.s7|51-55|DZNep|drug
DDI-MedLine.d180.s9|57-61|ALOX5|drug_n
DDI-MedLine.d180.s10|46-50|DZNep|drug
DDI-MedLine.d180.s10|92-96|DZNep|drug
DDI-MedLine.d180.s10|102-108|ABT-737|drug
DDI-MedLine.d180.s11|58-62|DZNep|drug
DDI-MedLine.d180.s12|13-17|DZNep|drug
DDI-MedLine.d180.s12|106-112|ABT-737|drug
DDI-MedLine.d180.s12|118-122|DZNep|drug
DDI-MedLine.d180.s13|27-31|DZNep|drug
DDI-MedLine.d181.s0|20-32|levothyroxine|drug
DDI-MedLine.d181.s1|0-6|Infacol|brand
DDI-MedLine.d181.s1|9-30|Forest Laboratories UK|drug
DDI-MedLine.d181.s2|25-34|simeticone|drug
DDI-MedLine.d181.s3|26-35|simeticone|drug
DDI-MedLine.d181.s4|85-97|levothyroxine|drug
DDI-MedLine.d181.s4|148-157|simeticone|drug
DDI-MedLine.d181.s5|17-29|levothyroxine|drug
DDI-MedLine.d181.s6|42-48|Infacol|brand
DDI-MedLine.d181.s6|78-90|levothyroxine|drug
DDI-MedLine.d181.s7|94-102|thyroxine|drug
DDI-MedLine.d181.s8|20-28|thyroxine|drug
DDI-MedLine.d181.s8|35-44|simeticone|drug
DDI-MedLine.d169.s0|0-6|Calcium|drug
DDI-MedLine.d169.s0|75-78|iron|drug
DDI-MedLine.d169.s0|136-139|Iron|drug
DDI-MedLine.d169.s0|164-170|ferrous|drug
DDI-MedLine.d169.s0|217-223|calcium|drug
DDI-MedLine.d169.s0|226-232|Calcium|drug
DDI-MedLine.d169.s0|234-244|supplements|drug
DDI-MedLine.d169.s0|292-295|iron|drug
DDI-MedLine.d169.s0|310-313|Iron|drug
DDI-MedLine.d169.s0|338-344|ferrous|drug
DDI-MedLine.d169.s0|391-397|calcium|drug
DDI-MedLine.d169.s0|400-403|Iron|drug
DDI-MedLine.d169.s0|428-434|ferrous|drug
DDI-MedLine.d169.s0|481-487|calcium|drug
DDI-MedLine.d169.s0|490-493|Iron|drug
DDI-MedLine.d169.s0|518-524|ferrous|drug
DDI-MedLine.d169.s0|571-577|calcium|drug
