DDI-MedLine.d48.s0|6-22|Clostridium toxin|drug_n
DDI-MedLine.d1.s6|124-137|ACE inhibitors|group
DDI-MedLine.d1.s7|0-10|symptomatic|drug
DDI-MedLine.d1.s7|12-25|pharmaceutical|drug
DDI-MedLine.d1.s7|27-44|errection disorder|group
DDI-MedLine.d1.s7|46-56|symptomatic|group
DDI-MedLine.d1.s7|58-71|pharmaceutical|group
DDI-MedLine.d1.s8|130-144|hyperlipidaemia|group
DDI-MedLine.d1.s8|150-156|obesity|group
DDI-MedLine.d1.s8|203-209|smoking|brand
DDI-MedLine.d132.s2|6-26|antiretroviral agents|group
DDI-MedLine.d132.s2|40-60|antiretroviral agents|group
DDI-MedLine.d132.s2|113-133|antiretroviral agents|group
DDI-MedLine.d132.s2|255-271|drug interactions|group
DDI-MedLine.d132.s3|6-26|antiretroviral agents|group
DDI-MedLine.d132.s3|28-36|efavirenz|brand
DDI-MedLine.d132.s3|38-47|nevirapine|brand
DDI-MedLine.d132.s3|49-59|delavirdine|brand
DDI-MedLine.d132.s4|11-19|efavirenz|drug
DDI-MedLine.d132.s4|25-34|nevirapine|drug
DDI-MedLine.d132.s4|82-83|PI|group
DDI-MedLine.d132.s4|85-93|indinavir|drug
DDI-MedLine.d132.s4|172-181|nevirapine|drug
DDI-MedLine.d132.s4|222-230|efavirenz|drug
DDI-MedLine.d132.s6|79-99|antiretroviral agents|group
DDI-MedLine.d132.s7|0-1|pi|drug
DDI-MedLine.d132.s8|25-33|efavirenz|drug
DDI-MedLine.d132.s8|40-63|indinavir-based regimens|group
DDI-MedLine.d132.s9|164-184|antiretroviral agents|group
DDI-MedLine.d132.s10|6-14|Efavirenz|drug
DDI-MedLine.d132.s10|50-59|nelfinavir|drug
DDI-MedLine.d132.s11|134-139|events|drug
DDI-MedLine.d132.s12|40-59|antiretroviral drugs|group
DDI-MedLine.d23.s0|30-37|ketamine|drug
DDI-MedLine.d23.s0|54-60|Innovar|brand
DDI-MedLine.d23.s1|65-72|ketamine|drug
DDI-MedLine.d23.s1|75-85|Innovar Vet|brand
DDI-MedLine.d23.s1|91-103|pentobarbital|drug_n
DDI-MedLine.d23.s1|120-126|ouabain|drug
DDI-MedLine.d23.s1|205-218|anticoagulants|group
DDI-MedLine.d23.s1|223-229|ouabain|drug
DDI-MedLine.d23.s1|237-244|ketamine|brand
DDI-MedLine.d23.s1|249-259|Innovar Vet|brand
DDI-MedLine.d23.s1|271-283|pentobarbital|drug_n
DDI-MedLine.d138.s0|26-33|oxytocin|drug
DDI-MedLine.d138.s0|39-58|antidiuretic hormone|group
DDI-MedLine.d29.s0|85-95|cloxacillin|drug
DDI-MedLine.d29.s2|7-17|penicillins|drug
DDI-MedLine.d29.s2|19-31|cephaloridine|drug
DDI-MedLine.d29.s2|33-42|probenecid|drug
DDI-MedLine.d29.s3|9-18|probenecid|drug
DDI-MedLine.d29.s3|23-36|anticoagulants|group
DDI-MedLine.d29.s3|41-57|antifungal agents|group
DDI-MedLine.d29.s4|6-19|anticoagulants|group
DDI-MedLine.d29.s4|21-31|cloxacillin|drug
DDI-MedLine.d29.s4|33-49|antifungal agents|group
DDI-MedLine.d29.s4|51-64|anticoagulants|group
DDI-MedLine.d29.s4|66-82|antifungal agents|group
DDI-MedLine.d29.s4|84-97|anticoagulants|group
DDI-MedLine.d29.s4|99-115|antifungal agents|group
DDI-MedLine.d29.s4|117-126|probenecid|drug_n
DDI-MedLine.d29.s6|34-44|cloxacillin|drug_n
DDI-MedLine.d29.s7|140-149|probenecid|drug
DDI-MedLine.d29.s8|41-50|probenecid|drug
DDI-MedLine.d29.s8|74-84|cloxacillin|drug
DDI-MedLine.d118.s1|0-26|immunosuppressive therapies|drug
DDI-MedLine.d118.s2|6-23|immunosuppressants|group
DDI-MedLine.d118.s2|200-211|cyclosporine|brand
DDI-MedLine.d118.s2|216-225|tacrolimus|brand
DDI-MedLine.d118.s3|97-105|sirolimus|drug
DDI-MedLine.d118.s3|128-139|cyclosporine|group
DDI-MedLine.d118.s3|144-153|tacrolimus|group
DDI-MedLine.d118.s3|249-260|cyclosporine|group
DDI-MedLine.d118.s3|265-274|tacrolimus|group
DDI-MedLine.d185.s0|168-179|panobinostat|drug
DDI-MedLine.d185.s0|182-187|LBH589|drug
DDI-MedLine.d185.s0|189-194|CYP3A4|group
DDI-MedLine.d185.s0|196-207|ketoconazole|drug
DDI-MedLine.d185.s1|10-21|Panobinostat|drug
DDI-MedLine.d185.s2|67-78|ketoconazole|drug
DDI-MedLine.d185.s3|6-17|panobinostat|drug
DDI-MedLine.d185.s4|6-22|antifungal agents|group
DDI-MedLine.d185.s5|6-19|anticoagulants|group
DDI-MedLine.d185.s5|21-37|antifungal agents|group
DDI-MedLine.d185.s5|39-50|ketoconazole|brand
DDI-MedLine.d185.s5|52-65|anticoagulants|group
DDI-MedLine.d185.s5|67-78|panobinostat|brand
DDI-MedLine.d185.s6|10-21|Panobinostat|drug
DDI-MedLine.d185.s11|0-17|acetilsalicic acid|drug
DDI-MedLine.d185.s12|6-19|anticoagulants|group
DDI-MedLine.d185.s12|21-27|aspirin|brand
DDI-MedLine.d185.s12|29-33|CYP3A|group
DDI-MedLine.d185.s12|35-39|CYP3A|group
DDI-MedLine.d185.s12|52-56|CYP3A|group
DDI-MedLine.d185.s12|69-73|CYP3A|group
DDI-MedLine.d185.s12|86-97|panobinostat|brand
DDI-MedLine.d185.s13|110-121|panobinostat|brand
DDI-MedLine.d185.s13|182-195|anticoagulants|group
DDI-MedLine.d185.s13|201-217|antifungal agents|group
DDI-MedLine.d185.s13|223-236|anticoagulants|group
DDI-MedLine.d180.s1|31-35|DZNep|drug
DDI-MedLine.d180.s1|70-75|AdoHcy|group
DDI-MedLine.d180.s2|11-19|apoptosis|drug
DDI-MedLine.d180.s2|25-30|growth|drug
DDI-MedLine.d180.s2|36-44|inhibited|drug
DDI-MedLine.d180.s2|50-56|induced|drug
DDI-MedLine.d180.s2|62-70|inhibited|drug
DDI-MedLine.d180.s2|76-81|growth|drug
DDI-MedLine.d180.s2|87-93|induced|drug
DDI-MedLine.d180.s2|99-107|apoptosis|drug
DDI-MedLine.d180.s2|113-121|inhibited|drug
DDI-MedLine.d180.s2|127-132|growth|drug
DDI-MedLine.d180.s2|138-144|induced|drug
DDI-MedLine.d180.s2|150-158|inhibited|drug
DDI-MedLine.d180.s2|164-169|growth|drug
DDI-MedLine.d180.s2|175-181|induced|drug
DDI-MedLine.d180.s2|187-195|apoptosis|drug
DDI-MedLine.d180.s3|31-35|DZNep|brand
DDI-MedLine.d180.s5|0-17|acetilsalicic acid|drug
DDI-MedLine.d180.s6|155-212|
    <ALOX5>
      <drug>
        ALOX5
      </drug>
    |group
DDI-MedLine.d180.s6|174-194|
        ALOX5
      |drug
DDI-MedLine.d180.s6|214-195||group
DDI-MedLine.d180.s6|225-245|
        DZNep
      |drug
DDI-MedLine.d180.s7|0-4|Aloxi|drug
DDI-MedLine.d180.s7|6-10|DZNep|drug
DDI-MedLine.d180.s9|0-8|Aloxeinib|drug
DDI-MedLine.d180.s10|19-23|Bcl-2|brand
DDI-MedLine.d180.s10|46-50|DZNep|group
DDI-MedLine.d180.s10|92-96|DZNep|group
DDI-MedLine.d180.s10|102-108|ABT-737|brand
DDI-MedLine.d180.s10|113-124|Bcl-2 family|group
DDI-MedLine.d180.s10|195-199|DZNep|group
DDI-MedLine.d180.s11|9-13|Aloxi|drug
DDI-MedLine.d180.s12|19-25|ABT-737|drug
DDI-MedLine.d180.s12|31-35|DZNep|drug
DDI-MedLine.d180.s12|94-98|Bcl-2|drug
DDI-MedLine.d180.s12|124-130|ABT-737|brand
DDI-MedLine.d180.s12|136-140|DZNep|drug
DDI-MedLine.d180.s12|172-180|apoptosis|drug
DDI-MedLine.d180.s13|33-37|DZNep|drug
DDI-MedLine.d180.s13|88-103|multiple myeloma|group
DDI-MedLine.d180.s13|106-121|multiple myeloma|group
DDI-MedLine.d181.s0|0-12|levothyroxine|drug
DDI-MedLine.d181.s0|14-31|infant colic drops|drug
DDI-MedLine.d181.s3|6-15|simeticone|drug
DDI-MedLine.d181.s4|124-136|levothyroxine|drug
DDI-MedLine.d181.s4|165-180|drug interaction|group
DDI-MedLine.d181.s4|187-196|simeticone|brand
DDI-MedLine.d181.s5|0-12|levothyroxine|drug
DDI-MedLine.d181.s6|48-54|Infacol|drug
DDI-MedLine.d181.s6|84-96|levothyroxine|drug
DDI-MedLine.d181.s8|26-34|thyroxine|drug
DDI-MedLine.d181.s8|41-50|simeticone|group
DDI-MedLine.d169.s0|49-52|iron|drug
DDI-MedLine.d169.s3|56-62|calcium|drug
DDI-MedLine.d169.s7|9-15|calcium|drug
DDI-MedLine.d169.s7|19-34|calcium chloride|drug
DDI-MedLine.d169.s7|38-45|minerals|group
DDI-MedLine.d169.s8|22-28|1000 mg|drug
DDI-MedLine.d169.s9|9-15|calcium|drug
DDI-MedLine.d169.s9|19-27|heme iron|drug
DDI-MedLine.d169.s10|6-12|Calcium|group
DDI-MedLine.d169.s10|15-35|calcium (as chloride)|drug
DDI-MedLine.d169.s10|39-46|chloride|drug
DDI-MedLine.d169.s10|50-53|Iron|group
DDI-MedLine.d169.s10|57-60|iron|drug
DDI-MedLine.d169.s10|64-70|Nonheme|group
DDI-MedLine.d169.s10|74-90|iron (as nonheme)|drug
DDI-MedLine.d169.s10|94-97|Heme|group
DDI-MedLine.d169.s10|101-114|iron (as heme)|drug
DDI-MedLine.d169.s10|118-121|CRBC|group
DDI-MedLine.d169.s10|125-138|iron (as CRBC)|drug
DDI-MedLine.d169.s11|0-6|calcium|drug
DDI-MedLine.d179.s1|46-54|sunitinib|drug
DDI-MedLine.d179.s2|72-80|sunitinib|drug
DDI-MedLine.d179.s2|137-145|sunitinib|drug
DDI-MedLine.d179.s2|151-159|docetaxel|drug
DDI-MedLine.d179.s3|52-65|K-ras mutation|group
DDI-MedLine.d179.s3|90-98|sunitinib|brand
DDI-MedLine.d179.s3|103-111|docetaxel|brand
DDI-MedLine.d179.s6|43-51|sunitinib|drug
DDI-MedLine.d179.s6|57-65|docetaxel|drug
DDI-MedLine.d179.s6|143-156|anticoagulants|group
DDI-MedLine.d179.s6|162-178|antifungal agents|group
DDI-MedLine.d179.s7|27-35|docetaxel|drug
DDI-MedLine.d179.s7|49-57|sunitinib|drug
DDI-MedLine.d179.s8|9-17|docetaxel|drug
DDI-MedLine.d179.s8|21-29|sunitinib|group
DDI-MedLine.d179.s9|0-6|aspirin|drug
DDI-MedLine.d179.s10|9-17|Sunitinib|drug
DDI-MedLine.d179.s10|21-25|NSCLC|group
DDI-MedLine.d179.s10|29-32|EGFR|group
DDI-MedLine.d179.s10|36-40|T790M|group
DDI-MedLine.d179.s10|44-48|K-ras|group
DDI-MedLine.d179.s10|52-60|Docetaxel|drug
DDI-MedLine.d159.s0|27-44|acetyl-l-carnitine|drug
DDI-MedLine.d159.s0|51-67|alpha lipoic acid|drug
DDI-MedLine.d159.s1|9-29|1,2:3,4-diepoxybutane|group
DDI-MedLine.d159.s2|227-229|DEB|drug
DDI-MedLine.d159.s2|232-233|FA|drug
DDI-MedLine.d159.s3|6-23|epoxide hydrolases|group
DDI-MedLine.d159.s3|26-43|protective enzymes|group
DDI-MedLine.d159.s3|46-70|glutathione S-transferase|group
DDI-MedLine.d159.s3|73-80|catalase|group
DDI-MedLine.d159.s3|83-93|glutathione|group
DDI-MedLine.d159.s4|0-11|antioxidants|drug
DDI-MedLine.d159.s4|71-82|antioxidants|drug
DDI-MedLine.d159.s4|89-102|anticoagulants|group
DDI-MedLine.d159.s4|109-125|antifungal agents|group
DDI-MedLine.d159.s4|132-138|aspirin|brand
DDI-MedLine.d159.s4|199-212|anticoagulants|group
DDI-MedLine.d159.s4|219-235|antifungal agents|group
DDI-MedLine.d159.s4|242-248|aspirin|drug
DDI-MedLine.d159.s5|6-8|DEB|drug
DDI-MedLine.d159.s5|11-24|anticoagulants|group
DDI-MedLine.d159.s5|28-44|antifungal agents|group
DDI-MedLine.d159.s5|48-61|anticoagulants|group
DDI-MedLine.d159.s5|65-81|antifungal agents|group
DDI-MedLine.d159.s5|85-98|anticoagulants|group
DDI-MedLine.d159.s5|102-118|antifungal agents|group
DDI-MedLine.d159.s5|122-135|anticoagulants|group
DDI-MedLine.d159.s5|139-155|antifungal agents|group
DDI-MedLine.d159.s5|159-172|anticoagulants|group
DDI-MedLine.d159.s5|176-192|antifungal agents|group
DDI-MedLine.d159.s5|196-209|anticoagulants|group
DDI-MedLine.d159.s5|213-229|antifungal agents|group
DDI-MedLine.d159.s5|233-246|anticoagulants|group
DDI-MedLine.d159.s5|250-266|antifungal agents|group
DDI-MedLine.d159.s5|270-283|anticoagulants|group
DDI-MedLine.d159.s5|287-303|antifungal agents|group
DDI-MedLine.d159.s5|307-320|anticoagulants|group
DDI-MedLine.d159.s5|324-340|antifungal agents|group
DDI-MedLine.d159.s5|344-357|anticoagulants|group
DDI-MedLine.d159.s5|361-377|antifungal agents|group
DDI-MedLine.d159.s5|381-394|anticoagulants|group
DDI-MedLine.d159.s5|398-414|antifungal agents|group
DDI-MedLine.d159.s5|418-431|anticoagulants|group
DDI-MedLine.d159.s6|11-28|acetyl-l-carnitine|drug
DDI-MedLine.d159.s6|73-75|DEB|drug
DDI-MedLine.d159.s6|121-137|alpha-lipoic acid|drug
DDI-MedLine.d159.s7|0-2|DEB|drug
DDI-MedLine.d164.s0|9-17|Lapatinib|drug
DDI-MedLine.d164.s0|21-29|Herceptin|drug
DDI-MedLine.d164.s0|33-36|HER2|drug
DDI-MedLine.d164.s1|74-87|anticoagulants|group
DDI-MedLine.d164.s1|181-189|Herceptin|brand
DDI-MedLine.d164.s1|215-228|anticoagulants|group
DDI-MedLine.d164.s1|230-238|Herceptin|brand
DDI-MedLine.d164.s1|240-253|anticoagulants|group
DDI-MedLine.d164.s1|255-268|anticoagulants|group
DDI-MedLine.d164.s1|270-283|anticoagulants|group
DDI-MedLine.d164.s1|285-298|anticoagulants|group
DDI-MedLine.d164.s1|300-313|anticoagulants|group
