DDI-MedLine.d48.s0|79-107|Clostridium difficile toxin A|group
DDI-MedLine.d132.s6|116-126|delavirdine|drug
DDI-MedLine.d132.s8|19-27|efavirenz|drug
DDI-MedLine.d132.s8|34-57|indinavir-based regimens|group
DDI-MedLine.d132.s10|0-8|efavirenz|drug
DDI-MedLine.d132.s10|44-53|nelfinavir|drug
DDI-MedLine.d132.s11|20-40|antiretroviral agents|group
DDI-MedLine.d132.s11|135-153|adverse drug events|group
DDI-MedLine.d23.s0|15-22|ketamine|drug
DDI-MedLine.d23.s1|65-72|ketamine|group
DDI-MedLine.d23.s1|75-85|Innovar Vet|brand
DDI-MedLine.d23.s1|145-151|ouabain|drug
DDI-MedLine.d23.s1|238-244|ouabain|drug
DDI-MedLine.d23.s1|252-259|ketamine|group
DDI-MedLine.d23.s1|264-274|Innovar Vet|brand
DDI-MedLine.d23.s2|35-41|ouabain|group
DDI-MedLine.d23.s2|111-117|Innovar|brand
DDI-MedLine.d23.s2|133-142|droperidol|brand
DDI-MedLine.d23.s2|176-182|fentayl|brand
DDI-MedLine.d23.s2|199-211|pentobarbital|brand
DDI-MedLine.d29.s3|21-30|probenecid|group
DDI-MedLine.d29.s3|75-85|cloxacillin|group
DDI-MedLine.d29.s3|124-134|cloxacillin|group
DDI-MedLine.d29.s3|274-283|probenecid|group
DDI-MedLine.d29.s5|173-186|anticoagulants|group
DDI-MedLine.d29.s5|265-281|antifungal agents|group
DDI-MedLine.d29.s5|325-338|anticoagulants|group
DDI-MedLine.d29.s5|361-367|heparin|drug
DDI-MedLine.d29.s5|372-379|warfarin|drug
DDI-MedLine.d29.s5|392-408|antifungal agents|group
DDI-MedLine.d29.s5|431-444|amphotericin B|drug
DDI-MedLine.d29.s5|449-459|fluconazole|drug
DDI-MedLine.d29.s5|462-475|anticoagulants|group
DDI-MedLine.d29.s5|554-570|antifungal agents|group
DDI-MedLine.d29.s5|610-618|phenytoin|drug
DDI-MedLine.d29.s5|652-664|phenobarbital|drug
DDI-MedLine.d29.s5|707-720|chlorpromazine|drug
DDI-MedLine.d29.s6|27-37|cloxacillin|group
DDI-MedLine.d29.s8|74-87|anticoagulants|group
DDI-MedLine.d118.s0|11-49|mammalian target of rapamycin inhibitor|group
DDI-MedLine.d118.s2|231-244|anticoagulants|group
DDI-MedLine.d118.s2|247-263|antifungal agents|group
DDI-MedLine.d118.s2|266-280|anticonvulsants|group
DDI-MedLine.d118.s2|283-304|antidysrhythmic agents|group
DDI-MedLine.d118.s2|307-323|antifungal agents|group
DDI-MedLine.d118.s2|326-345|antibacterial agents|group
DDI-MedLine.d118.s2|348-364|antifungal agents|group
DDI-MedLine.d118.s2|367-380|anticoagulants|group
DDI-MedLine.d118.s2|383-399|antifungal agents|group
DDI-MedLine.d118.s2|402-416|anticonvulsants|group
DDI-MedLine.d118.s2|419-435|antifungal agents|group
DDI-MedLine.d118.s2|438-451|anticoagulants|group
DDI-MedLine.d118.s2|454-470|antifungal agents|group
DDI-MedLine.d118.s2|473-487|anticonvulsants|group
DDI-MedLine.d118.s2|490-506|antifungal agents|group
DDI-MedLine.d118.s2|509-522|anticoagulants|group
DDI-MedLine.d118.s2|525-541|antifungal agents|group
DDI-MedLine.d118.s2|544-558|anticonvulsants|group
DDI-MedLine.d118.s2|561-577|antifungal agents|group
DDI-MedLine.d118.s2|580-593|anticoagulants|group
DDI-MedLine.d118.s3|97-110|anticoagulants|group
DDI-MedLine.d118.s3|115-131|antifungal agents|group
DDI-MedLine.d118.s3|226-239|anticoagulants|group
DDI-MedLine.d118.s3|244-260|antifungal agents|group
DDI-MedLine.d185.s2|61-72|ketoconazole|group
DDI-MedLine.d185.s3|27-38|panobinostat|group
DDI-MedLine.d185.s4|13-24|ketoconazole|group
DDI-MedLine.d185.s5|19-30|panobinostat|group
DDI-MedLine.d185.s5|62-73|ketoconazole|drug
DDI-MedLine.d185.s12|21-32|panobinostat|group
DDI-MedLine.d185.s12|96-107|panobinostat|group
DDI-MedLine.d180.s3|9-18|un-treated|group
DDI-MedLine.d180.s6|32-36|ALOX5|group
DDI-MedLine.d180.s9|57-61|ALOX5|group
DDI-MedLine.d180.s10|19-32|anticoagulants|group
DDI-MedLine.d180.s10|70-76|aspirin|drug
DDI-MedLine.d180.s10|140-155|antifungal agent|group
DDI-MedLine.d180.s10|418-425|Naloxone|drug
DDI-MedLine.d180.s12|13-19|ABT-737|group
DDI-MedLine.d180.s12|25-29|DZNep|group
DDI-MedLine.d180.s12|118-124|ABT-737|group
DDI-MedLine.d180.s12|130-134|DZNep|group
DDI-MedLine.d180.s13|27-33| DZNep |drug_n
DDI-MedLine.d181.s0|0-12|levothyroxine|drug
DDI-MedLine.d181.s0|29-41|levothyroxine|drug
DDI-MedLine.d181.s2|25-34|simeticone|group
DDI-MedLine.d181.s4|85-97|levothyroxine|group
DDI-MedLine.d181.s4|148-157|simeticone|brand
DDI-MedLine.d181.s5|17-29|levothyroxine|group
DDI-MedLine.d181.s6|42-72|lactose intolerance medications|group
DDI-MedLine.d181.s6|145-157|levothyroxine|drug
DDI-MedLine.d181.s7|4-14|colic drops|group
DDI-MedLine.d181.s8|0-8|thyroxine|drug
DDI-MedLine.d181.s8|25-33|thyroxine|drug
DDI-MedLine.d169.s0|0-6|Calcium|drug
DDI-MedLine.d169.s3|52-58|calcium|group
DDI-MedLine.d169.s4|11-17| women |group
DDI-MedLine.d169.s4|53-58| iron |group
DDI-MedLine.d169.s4|85-90| iron |group
DDI-MedLine.d169.s5|28-34|calcium|group
DDI-MedLine.d169.s5|139-145|ferrous|group
DDI-MedLine.d169.s8|16-22|1000 mg|group
DDI-MedLine.d169.s9|18-23|800 mg|group
DDI-MedLine.d169.s10|53-59|calcium|group
DDI-MedLine.d169.s10|65-72|chloride|group
DDI-MedLine.d169.s10|100-103|iron|drug_n
DDI-MedLine.d169.s10|126-132|nonheme|group
DDI-MedLine.d169.s10|150-153|heme|drug_n
DDI-MedLine.d179.s0|32-40|covalyzer|group
DDI-MedLine.d179.s0|46-54|covalyzer|group
DDI-MedLine.d179.s1|0-9| sunitinib|drug
DDI-MedLine.d179.s2|52-60|sunitinib|group
DDI-MedLine.d179.s2|117-125|sunitinib|group
DDI-MedLine.d179.s2|131-139|docetaxel|group
DDI-MedLine.d179.s3|46-59|K-ras mutation|group
DDI-MedLine.d179.s4|62-75|anticoagulants|group
DDI-MedLine.d179.s4|120-131|glutethimide|drug
DDI-MedLine.d179.s4|163-179|clostridium toxin|drug_n
DDI-MedLine.d179.s6|37-45|sunitinib|group
DDI-MedLine.d179.s6|51-59|docetaxel|group
DDI-MedLine.d179.s7|27-35|docetaxel|drug
DDI-MedLine.d179.s7|49-58|sisentinib|drug
DDI-MedLine.d179.s8|102-110|docetaxel|drug
DDI-MedLine.d179.s8|179-187|sunitinib|group
DDI-MedLine.d159.s0|21-38|acetyl-l-carnitine|group
DDI-MedLine.d159.s0|45-61|alpha lipoic acid|group
DDI-MedLine.d159.s5|46-48|DEB|group
DDI-MedLine.d159.s5|165-167|DEB|group
DDI-MedLine.d159.s6|5-22|acetyl-l-carnitine|drug
DDI-MedLine.d159.s6|115-131|alpha-lipoic acid|drug
DDI-MedLine.d164.s0|19-27|herceptin|group
DDI-MedLine.d164.s0|112-115|HER2|group
DDI-MedLine.d164.s1|41-49|lapatinib|group
DDI-MedLine.d164.s1|65-73|Herceptin|group
DDI-MedLine.d164.s1|133-141|lapatinib|group
DDI-MedLine.d164.s1|167-175|Herceptin|group
DDI-MedLine.d164.s2|17-25|lapatinib|group
DDI-MedLine.d164.s2|42-50|Herceptin|group
DDI-MedLine.d164.s2|55-81|HER2-positive breast cancer|group
DDI-MedLine.d164.s2|111-119|Herceptin|group
DDI-MedLine.d164.s4|108-113|marked|group
DDI-MedLine.d193.s2|21-31|clopidogrel|group
DDI-MedLine.d193.s2|34-39|Plavix|group
DDI-MedLine.d193.s2|46-54|prasugrel|group
DDI-MedLine.d193.s2|57-63|Effient|group
DDI-MedLine.d193.s3|44-54|clopidogrel|group
DDI-MedLine.d43.s4|22-35|anticoagulants|group
DDI-MedLine.d43.s4|37-53|antifungal agents|group
DDI-MedLine.d43.s4|55-65|antibiotics|group
DDI-MedLine.d43.s4|67-83|antifungal agents|group
DDI-MedLine.d43.s4|85-95|antibiotics|group
DDI-MedLine.d43.s4|97-113|antifungal agents|group
DDI-MedLine.d43.s4|115-125|antibiotics|group
DDI-MedLine.d43.s4|127-143|antifungal agents|group
DDI-MedLine.d43.s4|145-155|antibiotics|group
DDI-MedLine.d43.s4|157-173|antifungal agents|group
DDI-MedLine.d43.s4|175-185|antibiotics|group
DDI-MedLine.d43.s4|187-203|antifungal agents|group
DDI-MedLine.d43.s4|205-215|antibiotics|group
DDI-MedLine.d43.s4|217-233|antifungal agents|group
DDI-MedLine.d43.s4|235-245|antibiotics|group
DDI-MedLine.d43.s4|247-263|antifungal agents|group
DDI-MedLine.d43.s4|265-275|antibiotics|group
DDI-MedLine.d43.s4|277-293|antifungal agents|group
DDI-MedLine.d43.s4|295-305|antibiotics|group
DDI-MedLine.d43.s4|307-323|antifungal agents|group
DDI-MedLine.d43.s4|325-335|antibiotics|group
DDI-MedLine.d43.s4|337-353|antifungal agents|group
DDI-MedLine.d43.s4|355-365|antibiotics|group
DDI-MedLine.d43.s4|367-383|antifungal agents|group
DDI-MedLine.d43.s4|385-395|antibiotics|group
DDI-MedLine.d100.s0|13-36|calcium-channel blockers|group
DDI-MedLine.d100.s3|119-132|thromboxane A2|group
DDI-MedLine.d100.s5|39-47|verapamil|group
DDI-MedLine.d100.s5|50-58|diltiazem|group
DDI-MedLine.d100.s5|64-73|nifedipine|group
DDI-MedLine.d100.s7|35-50|calcium blockers|group
DDI-MedLine.d100.s7|119-130|prostacyclin|group
DDI-MedLine.d73.s2|21-24|MPTP|drug
DDI-MedLine.d73.s2|143-151|pargyline|drug
DDI-MedLine.d73.s5|110-118|pargyline|group
DDI-MedLine.d31.s5|84-87|drug|drug
DDI-DrugBank.d449.s2|12-14|OCs|group
DDI-DrugBank.d449.s2|29-37|diltiazem|drug
DDI-DrugBank.d8.s3|0-6|ALFENTA|drug
DDI-DrugBank.d8.s4|36-49|anticoagulants|group
DDI-DrugBank.d8.s5|18-24|ALFENTA|group
DDI-DrugBank.d8.s5|109-115|ALFENTA|group
DDI-DrugBank.d416.s0|32-34|PAH|group
DDI-DrugBank.d416.s0|103-114|sulfonamides|group
DDI-DrugBank.d416.s0|117-124|procaine|group
DDI-DrugBank.d416.s0|130-144|thiazolesulfone|group
DDI-DrugBank.d416.s3|30-39|probenecid|group
DDI-DrugBank.d22.s1|32-38|digoxin|group
DDI-DrugBank.d22.s1|53-71|aminosalicylic acid|group
DDI-DrugBank.d22.s1|90-96|digoxin|group
DDI-DrugBank.d318.s0|86-99|anticoagulants|group
DDI-DrugBank.d318.s0|102-118|antifungal agents|group
DDI-DrugBank.d318.s2|36-40| ACTH|group
DDI-DrugBank.d318.s3|66-79|amphotericin B|group
DDI-DrugBank.d318.s5|22-90|amphotericin B-induced hypokalemia may potentiate digitalis toxicity.|group
DDI-DrugBank.d318.s8|19-32|ketodeconazole|group
DDI-DrugBank.d318.s8|35-44|miconazole|group
DDI-DrugBank.d318.s8|47-58|clotrimazole|group
DDI-DrugBank.d318.s8|61-71|fluconazole|group
DDI-DrugBank.d318.s8|133-146|amphotericin B|group
DDI-DrugBank.d318.s8|219-232|amphotericin B|group
DDI-DrugBank.d318.s10|46-60|aminoglycosides|group
DDI-DrugBank.d318.s10|63-74|cyclosporine|group
DDI-DrugBank.d318.s10|81-91|pentamidine|group
DDI-DrugBank.d318.s12|132-144|tubocurarine)|group
DDI-DrugBank.d318.s13|6-14|potassium|group
DDI-DrugBank.d318.s14|101-114|amphotericin B|group
DDI-DrugBank.d357.s0|190-210|5HT3 antagonist class|group
DDI-DrugBank.d357.s1|265-275|hypotension|group
DDI-DrugBank.d357.s1|288-308|myocardial infarction|group
DDI-DrugBank.d357.s1|320-336|serious pneumonia|group
DDI-DrugBank.d357.s1|348-360|serious falls|group
DDI-DrugBank.d357.s1|376-398|bone and joint injuries|group
DDI-DrugBank.d357.s2|86-96|hypotension|group
DDI-DrugBank.d357.s3|28-38|apomorphine|drug
DDI-DrugBank.d357.s3|117-128|neuroleptics|group
DDI-DrugBank.d357.s3|181-194|metoclopramide|drug
DDI-DrugBank.d357.s4|54-65|neuroleptics|group
DDI-DrugBank.d357.s5|82-92|apomorphine|group
DDI-DrugBank.d357.s6|0-5|APOKYN|drug
DDI-DrugBank.d357.s6|47-52|APOKYN|drug
DDI-DrugBank.d253.s0|0-30|beta-adrenergic blocking agents|drug
DDI-DrugBank.d253.s1|91-121|arbutamine-mediated stress test|group
DDI-DrugBank.d253.s2|32-41|flecainide|drug
DDI-DrugBank.d253.s2|44-52|lidocaine|drug
DDI-DrugBank.d253.s2|58-66|quinidine|drug
DDI-DrugBank.d253.s2|89-98|arbutamine|drug
DDI-DrugBank.d105.s0|25-44|coumarin derivatives|group
DDI-DrugBank.d105.s0|47-68|indandione derivatives|group
DDI-DrugBank.d105.s0|75-105|platelet aggregation inhibitors|group
DDI-DrugBank.d105.s0|166-172|aspirin|drug
DDI-DrugBank.d509.s0|0-21|Drug-Drug Interactions|drug
DDI-DrugBank.d509.s0|56-67|aripiprazole|drug
DDI-DrugBank.d509.s2|35-46|aripiprazole|group
DDI-DrugBank.d509.s5|37-48|aripiprazole|drug
DDI-DrugBank.d509.s9|34-45|ketoconazole|group
DDI-DrugBank.d509.s9|102-113|aripiprazole|brand
DDI-DrugBank.d509.s9|138-149|aripiprazole|brand
DDI-DrugBank.d509.s11|35-50|antifungal agent|group
DDI-DrugBank.d509.s11|74-92|antipsychotic agent|group
DDI-DrugBank.d509.s11|119-137|antipsychotic agent|group
DDI-DrugBank.d509.s14|9-25| CYP3A4 inhibitor|group
DDI-DrugBank.d509.s17|48-57|fluoxetine|group
DDI-DrugBank.d509.s17|62-71|paroxetine|group
DDI-DrugBank.d509.s18|9-25| CYP2D6 inhibitor|group
DDI-DrugBank.d509.s19|35-47|carbamazepine|group
DDI-DrugBank.d509.s19|188-199|aripiprazole|group
DDI-DrugBank.d509.s20|5-17|carbamazepine|group
DDI-DrugBank.d509.s20|33-37|group|group
DDI-DrugBank.d509.s20|39-50|aripiprazole|brand
DDI-DrugBank.d509.s20|63-74|aripiprazole|group
DDI-DrugBank.d509.s22|5-17|carbamazepine|group
DDI-DrugBank.d509.s22|62-73|aripiprazole|group
DDI-DrugBank.d509.s23|36-45|famotidine|drug
DDI-DrugBank.d509.s23|48-56|valproate|group
DDI-DrugBank.d509.s23|160-169|drug_toxin|group
DDI-DrugBank.d509.s25|46-57|aripiprazole|group
DDI-DrugBank.d509.s25|102-107|CYP2D6|drug
DDI-DrugBank.d509.s25|129-134|CYP2C9|group
DDI-DrugBank.d509.s25|148-154|CYP2C19|group
DDI-DrugBank.d509.s25|184-189|CYP3A4|group
DDI-DrugBank.d509.s25|192-207|dextromethorphan|drug
DDI-DrugBank.d509.s26|14-25|aripiprazole|group
DDI-DrugBank.d509.s26|31-49|dehydroaripiprazole|group
DDI-DrugBank.d509.s28|96-102|abilify|group
DDI-DrugBank.d73.s1|22-29|tenormin|group
DDI-DrugBank.d73.s1|38-59|catecholamine depletor|group
DDI-DrugBank.d73.s2|74-81|tenormin|group
DDI-DrugBank.d73.s3|89-97|clonidine|group
DDI-DrugBank.d73.s4|11-30| >acetilsalicic acid|drug
DDI-DrugBank.d73.s4|82-95| >beta blocker|group
DDI-DrugBank.d73.s4|163-173| >clonidine|drug_n
DDI-DrugBank.d73.s6|64-75|indomethacin|group
DDI-DrugBank.d73.s7|35-42|atenolol|group
DDI-DrugBank.d73.s7|48-54|aspirin|group
DDI-DrugBank.d73.s8|27-33|aspirin|group
DDI-DrugBank.d73.s8|39-51|beta blockers|group
DDI-DrugBank.d73.s9|13-25|beta blockers|group
DDI-DrugBank.d73.s9|58-69|anaphylactic|group
DDI-DrugBank.d73.s10|56-66|epinephrine|drug
DDI-DrugBank.d489.s0|101-110|cimetidine|group
DDI-DrugBank.d489.s0|113-122|nifedipine|group
DDI-DrugBank.d489.s0|125-138|chlorthalidone|group
DDI-DrugBank.d489.s0|145-163|hydrochlorothiazide|group
DDI-DrugBank.d489.s1|30-36|Kerlone|group
DDI-DrugBank.d489.s2|37-45|reserpine|group
DDI-DrugBank.d489.s3|24-62|beta-adrenergic receptor blocking agent|group
DDI-DrugBank.d489.s3|71-92|catecholamine depletor|group
DDI-DrugBank.d489.s3|200-206|vertigo|group
DDI-DrugBank.d489.s3|209-215|syncope|group
DDI-DrugBank.d489.s5|37-55|calcium antagonists|group
DDI-DrugBank.d489.s5|89-119|beta-adrenergic blocking agents|group
DDI-DrugBank.d489.s6|13-38|AV conduction disturbances|group
DDI-DrugBank.d489.s6|116-146|beta-adrenergic blocking agents|group
DDI-DrugBank.d489.s6|161-178|calcium antagonist|group
DDI-DrugBank.d489.s7|104-113|nifedipine|drug
DDI-DrugBank.d489.s7|249-257|verapamil|group
DDI-DrugBank.d489.s7|262-270|diltiazem|drug
DDI-DrugBank.d489.s8|69-81|beta-blockers|group
DDI-DrugBank.d489.s8|156-168|beta-blockers|group
DDI-DrugBank.d489.s9|224-236|beta-blockers|group
DDI-DrugBank.d489.s10|56-66|epinephrine|group
DDI-DrugBank.d497.s0|0-4|AZOPT|drug
DDI-DrugBank.d497.s0|57-84|carbonic anhydrase inhibitor|group
DDI-DrugBank.d497.s1|84-95|brinzolamide|group
DDI-DrugBank.d497.s3|34-47|anticoagulants|group
DDI-DrugBank.d153.s0|60-70|epinephrine|group
DDI-DrugBank.d153.s0|75-88|norepinephrine|group
DDI-DrugBank.d153.s0|112-139|monoamine oxidase inhibitors|group
DDI-DrugBank.d153.s0|144-168|tricyclic antidepressants|group
DDI-DrugBank.d153.s3|29-39|vasopressor|group
DDI-DrugBank.d153.s3|54-63|ergot-type|group
DDI-DrugBank.d213.s0|51-61|carbimazole|group
DDI-DrugBank.d213.s0|150-160|carbimazole|group
DDI-DrugBank.d213.s1|23-29|digoxin|group
DDI-DrugBank.d213.s1|35-43|digitoxin|group
DDI-DrugBank.d213.s3|142-152|Carbimazole|group
DDI-DrugBank.d213.s4|26-39|anticoagulants|group
DDI-DrugBank.d213.s5|17-32|prothrombin time|group
DDI-DrugBank.d520.s0|65-75|carboplatin|group
DDI-DrugBank.d269.s1|21-31|debrisoquin|drug
DDI-DrugBank.d269.s1|50-59|carvedilol|group
DDI-DrugBank.d269.s1|126-135|paroxetine|brand
DDI-DrugBank.d269.s1|142-152|propafenone|drug_n
DDI-DrugBank.d269.s1|263-272|carvedilol|group
DDI-DrugBank.d269.s2|75-90|2D6 metabolizers|group
DDI-DrugBank.d269.s2|238-252|R(+) enantiomer|group
DDI-DrugBank.d269.s4|41-49|clonidine|group
DDI-DrugBank.d269.s4|68-71|beta|group
DDI-DrugBank.d269.s7|46-55|carvedilol|group
DDI-DrugBank.d269.s7|110-121|cyclosporine|group
DDI-DrugBank.d269.s8|38-49|cyclosporine|group
DDI-DrugBank.d269.s8|90-101|cyclosporine|group
DDI-DrugBank.d269.s9|23-36| >cyclosporine|group
DDI-DrugBank.d269.s9|53-66| >cyclosporine|drug
DDI-DrugBank.d269.s10|96-112|clostridium toxin|group
DDI-DrugBank.d269.s10|170-179|carvedilol|group
DDI-DrugBank.d269.s10|210-226|clostridium toxin|group
DDI-DrugBank.d269.s11|9-15|digoxin|drug
DDI-DrugBank.d269.s11|64-70|digoxin|drug
DDI-DrugBank.d269.s11|76-85|carvedilol|brand
DDI-DrugBank.d269.s12|5-11|digoxin|drug
DDI-DrugBank.d269.s12|17-21|COREG|group
DDI-DrugBank.d269.s13|35-41|digoxin|group
DDI-DrugBank.d269.s14|47-54|rifampin|group
DDI-DrugBank.d269.s14|89-98|carvedilol|drug
DDI-DrugBank.d269.s16|0-23|Calcium Channel Blockers|drug
DDI-DrugBank.d269.s16|128-132|Coreg|drug
DDI-DrugBank.d269.s16|158-166|Diltiazem|drug
DDI-DrugBank.d269.s17|52-56|Coreg|group
DDI-DrugBank.d269.s17|124-132|verapamil|group
DDI-DrugBank.d269.s17|137-145|diltiazem|group
DDI-DrugBank.d269.s18|112-118|insulin|drug
DDI-DrugBank.d269.s18|124-141|oral hypoglycemics|group
DDI-DrugBank.d339.s0|24-36|carbamazepine|group
DDI-DrugBank.d339.s1|0-12|carbamazepine|drug
DDI-DrugBank.d339.s1|74-86|carbamazepine|drug
DDI-DrugBank.d339.s2|13-26|anticoagulants|group
DDI-DrugBank.d339.s2|115-122|cefixime|drug
DDI-DrugBank.d339.s3|0-12|nitroprusside|drug
DDI-DrugBank.d339.s3|14-30|nitroferricyanide|drug
DDI-DrugBank.d339.s4|22-27|SUPRAX|group
DDI-DrugBank.d172.s0|49-57|celecoxib|group
DDI-DrugBank.d172.s1|51-69|cytochrome P450 2C9|group
DDI-DrugBank.d172.s2|21-29|celecoxib|group
DDI-DrugBank.d172.s3|31-39|celecoxib|group
DDI-DrugBank.d172.s4|36-42|celoxib|group
DDI-DrugBank.d172.s5|69-82|anticoagulants|group
